scheme,family,model_a,model_b,delta_a_minus_b
A_STANDARD_4F,standalone,CAP,CAP,0.0
A_STANDARD_4F,standalone,CAP,DIST,0.010025973522984843
A_STANDARD_4F,standalone,CAP,ETX-AVG3,0.012032356394332755
A_STANDARD_4F,standalone,CAP,SEQ-AVG3,0.011007844455175775
A_STANDARD_4F,standalone,CAP,BTYD,-0.04005846631384724
A_STANDARD_4F,standalone,DIST,CAP,-0.010025973522984843
A_STANDARD_4F,standalone,DIST,DIST,0.0
A_STANDARD_4F,standalone,DIST,ETX-AVG3,0.0020063828713479115
A_STANDARD_4F,standalone,DIST,SEQ-AVG3,0.0009818709321909314
A_STANDARD_4F,standalone,DIST,BTYD,-0.050084439836832084
A_STANDARD_4F,standalone,ETX-AVG3,CAP,-0.012032356394332755
A_STANDARD_4F,standalone,ETX-AVG3,DIST,-0.0020063828713479115
A_STANDARD_4F,standalone,ETX-AVG3,ETX-AVG3,0.0
A_STANDARD_4F,standalone,ETX-AVG3,SEQ-AVG3,-0.0010245119391569801
A_STANDARD_4F,standalone,ETX-AVG3,BTYD,-0.052090822708179996
A_STANDARD_4F,standalone,SEQ-AVG3,CAP,-0.011007844455175775
A_STANDARD_4F,standalone,SEQ-AVG3,DIST,-0.0009818709321909314
A_STANDARD_4F,standalone,SEQ-AVG3,ETX-AVG3,0.0010245119391569801
A_STANDARD_4F,standalone,SEQ-AVG3,SEQ-AVG3,0.0
A_STANDARD_4F,standalone,SEQ-AVG3,BTYD,-0.051066310769023016
A_STANDARD_4F,standalone,BTYD,CAP,0.04005846631384724
A_STANDARD_4F,standalone,BTYD,DIST,0.050084439836832084
A_STANDARD_4F,standalone,BTYD,ETX-AVG3,0.052090822708179996
A_STANDARD_4F,standalone,BTYD,SEQ-AVG3,0.051066310769023016
A_STANDARD_4F,standalone,BTYD,BTYD,0.0
A_STANDARD_4F,reference,UNC,UNC,0.0
A_STANDARD_4F,incremental,BTYD05,BTYD05,0.0
A_STANDARD_4F,incremental,BTYD05,FRESH,-9.602876438874475e-05
A_STANDARD_4F,incremental,BTYD05,ZERO2D,-0.00029622908759963096
A_STANDARD_4F,incremental,BTYD05,SEQ_SLOT_25,-0.00037357937261894847
A_STANDARD_4F,incremental,BTYD05,SEQ_SLOT_50,-0.00032098489213594483
A_STANDARD_4F,incremental,BTYD05,SEQ_SLOT_75,-0.0004211271501228797
A_STANDARD_4F,incremental,BTYD05,BTYD05_FRESH1,0.00014595814821705133
A_STANDARD_4F,incremental,FRESH,BTYD05,9.602876438874475e-05
A_STANDARD_4F,incremental,FRESH,FRESH,0.0
A_STANDARD_4F,incremental,FRESH,ZERO2D,-0.0002002003232108862
A_STANDARD_4F,incremental,FRESH,SEQ_SLOT_25,-0.0002775506082302037
A_STANDARD_4F,incremental,FRESH,SEQ_SLOT_50,-0.00022495612774720009
A_STANDARD_4F,incremental,FRESH,SEQ_SLOT_75,-0.00032509838573413496
A_STANDARD_4F,incremental,FRESH,BTYD05_FRESH1,0.00024198691260579608
A_STANDARD_4F,incremental,ZERO2D,BTYD05,0.00029622908759963096
A_STANDARD_4F,incremental,ZERO2D,FRESH,0.0002002003232108862
A_STANDARD_4F,incremental,ZERO2D,ZERO2D,0.0
A_STANDARD_4F,incremental,ZERO2D,SEQ_SLOT_25,-7.735028501931751e-05
A_STANDARD_4F,incremental,ZERO2D,SEQ_SLOT_50,-2.4755804536313875e-05
A_STANDARD_4F,incremental,ZERO2D,SEQ_SLOT_75,-0.00012489806252324875
A_STANDARD_4F,incremental,ZERO2D,BTYD05_FRESH1,0.0004421872358166823
A_STANDARD_4F,incremental,SEQ_SLOT_25,BTYD05,0.00037357937261894847
A_STANDARD_4F,incremental,SEQ_SLOT_25,FRESH,0.0002775506082302037
A_STANDARD_4F,incremental,SEQ_SLOT_25,ZERO2D,7.735028501931751e-05
A_STANDARD_4F,incremental,SEQ_SLOT_25,SEQ_SLOT_25,0.0
A_STANDARD_4F,incremental,SEQ_SLOT_25,SEQ_SLOT_50,5.2594480483003636e-05
A_STANDARD_4F,incremental,SEQ_SLOT_25,SEQ_SLOT_75,-4.754777750393124e-05
A_STANDARD_4F,incremental,SEQ_SLOT_25,BTYD05_FRESH1,0.0005195375208359998
A_STANDARD_4F,incremental,SEQ_SLOT_50,BTYD05,0.00032098489213594483
A_STANDARD_4F,incremental,SEQ_SLOT_50,FRESH,0.00022495612774720009
A_STANDARD_4F,incremental,SEQ_SLOT_50,ZERO2D,2.4755804536313875e-05
A_STANDARD_4F,incremental,SEQ_SLOT_50,SEQ_SLOT_25,-5.2594480483003636e-05
A_STANDARD_4F,incremental,SEQ_SLOT_50,SEQ_SLOT_50,0.0
A_STANDARD_4F,incremental,SEQ_SLOT_50,SEQ_SLOT_75,-0.00010014225798693488
A_STANDARD_4F,incremental,SEQ_SLOT_50,BTYD05_FRESH1,0.00046694304035299616
A_STANDARD_4F,incremental,SEQ_SLOT_75,BTYD05,0.0004211271501228797
A_STANDARD_4F,incremental,SEQ_SLOT_75,FRESH,0.00032509838573413496
A_STANDARD_4F,incremental,SEQ_SLOT_75,ZERO2D,0.00012489806252324875
A_STANDARD_4F,incremental,SEQ_SLOT_75,SEQ_SLOT_25,4.754777750393124e-05
A_STANDARD_4F,incremental,SEQ_SLOT_75,SEQ_SLOT_50,0.00010014225798693488
A_STANDARD_4F,incremental,SEQ_SLOT_75,SEQ_SLOT_75,0.0
A_STANDARD_4F,incremental,SEQ_SLOT_75,BTYD05_FRESH1,0.000567085298339931
A_STANDARD_4F,incremental,BTYD05_FRESH1,BTYD05,-0.00014595814821705133
A_STANDARD_4F,incremental,BTYD05_FRESH1,FRESH,-0.00024198691260579608
A_STANDARD_4F,incremental,BTYD05_FRESH1,ZERO2D,-0.0004421872358166823
A_STANDARD_4F,incremental,BTYD05_FRESH1,SEQ_SLOT_25,-0.0005195375208359998
A_STANDARD_4F,incremental,BTYD05_FRESH1,SEQ_SLOT_50,-0.00046694304035299616
A_STANDARD_4F,incremental,BTYD05_FRESH1,SEQ_SLOT_75,-0.000567085298339931
A_STANDARD_4F,incremental,BTYD05_FRESH1,BTYD05_FRESH1,0.0
B_SURVIVOR_K3,standalone,CAP,CAP,0.0
B_SURVIVOR_K3,standalone,CAP,DIST,0.010031879516593234
B_SURVIVOR_K3,standalone,CAP,ETX-AVG3,0.012053107368517946
B_SURVIVOR_K3,standalone,CAP,SEQ-AVG3,0.011034350020153516
B_SURVIVOR_K3,standalone,CAP,BTYD,-0.039920690540816484
B_SURVIVOR_K3,standalone,DIST,CAP,-0.010031879516593234
B_SURVIVOR_K3,standalone,DIST,DIST,0.0
B_SURVIVOR_K3,standalone,DIST,ETX-AVG3,0.0020212278519247118
B_SURVIVOR_K3,standalone,DIST,SEQ-AVG3,0.0010024705035602821
B_SURVIVOR_K3,standalone,DIST,BTYD,-0.04995257005740972
B_SURVIVOR_K3,standalone,ETX-AVG3,CAP,-0.012053107368517946
B_SURVIVOR_K3,standalone,ETX-AVG3,DIST,-0.0020212278519247118
B_SURVIVOR_K3,standalone,ETX-AVG3,ETX-AVG3,0.0
B_SURVIVOR_K3,standalone,ETX-AVG3,SEQ-AVG3,-0.0010187573483644297
B_SURVIVOR_K3,standalone,ETX-AVG3,BTYD,-0.05197379790933443
B_SURVIVOR_K3,standalone,SEQ-AVG3,CAP,-0.011034350020153516
B_SURVIVOR_K3,standalone,SEQ-AVG3,DIST,-0.0010024705035602821
B_SURVIVOR_K3,standalone,SEQ-AVG3,ETX-AVG3,0.0010187573483644297
B_SURVIVOR_K3,standalone,SEQ-AVG3,SEQ-AVG3,0.0
B_SURVIVOR_K3,standalone,SEQ-AVG3,BTYD,-0.05095504056097
B_SURVIVOR_K3,standalone,BTYD,CAP,0.039920690540816484
B_SURVIVOR_K3,standalone,BTYD,DIST,0.04995257005740972
B_SURVIVOR_K3,standalone,BTYD,ETX-AVG3,0.05197379790933443
B_SURVIVOR_K3,standalone,BTYD,SEQ-AVG3,0.05095504056097
B_SURVIVOR_K3,standalone,BTYD,BTYD,0.0
B_SURVIVOR_K3,reference,UNC,UNC,0.0
B_SURVIVOR_K3,incremental,BTYD05,BTYD05,0.0
B_SURVIVOR_K3,incremental,BTYD05,FRESH,-0.00011677485883088146
B_SURVIVOR_K3,incremental,BTYD05,ZERO2D,-0.00032034544017323086
B_SURVIVOR_K3,incremental,BTYD05,SEQ_SLOT_25,-0.00038823030470380715
B_SURVIVOR_K3,incremental,BTYD05,SEQ_SLOT_50,-0.000336654102117917
B_SURVIVOR_K3,incremental,BTYD05,SEQ_SLOT_75,-0.0004380541352493328
B_SURVIVOR_K3,incremental,BTYD05,BTYD05_FRESH1,0.0001408018105992781
B_SURVIVOR_K3,incremental,FRESH,BTYD05,0.00011677485883088146
B_SURVIVOR_K3,incremental,FRESH,FRESH,0.0
B_SURVIVOR_K3,incremental,FRESH,ZERO2D,-0.0002035705813423494
B_SURVIVOR_K3,incremental,FRESH,SEQ_SLOT_25,-0.0002714554458729257
B_SURVIVOR_K3,incremental,FRESH,SEQ_SLOT_50,-0.00021987924328703556
B_SURVIVOR_K3,incremental,FRESH,SEQ_SLOT_75,-0.00032127927641845133
B_SURVIVOR_K3,incremental,FRESH,BTYD05_FRESH1,0.00025757666943015955
B_SURVIVOR_K3,incremental,ZERO2D,BTYD05,0.00032034544017323086
B_SURVIVOR_K3,incremental,ZERO2D,FRESH,0.0002035705813423494
B_SURVIVOR_K3,incremental,ZERO2D,ZERO2D,0.0
B_SURVIVOR_K3,incremental,ZERO2D,SEQ_SLOT_25,-6.78848645305763e-05
B_SURVIVOR_K3,incremental,ZERO2D,SEQ_SLOT_50,-1.6308661944686165e-05
B_SURVIVOR_K3,incremental,ZERO2D,SEQ_SLOT_75,-0.00011770869507610193
B_SURVIVOR_K3,incremental,ZERO2D,BTYD05_FRESH1,0.00046114725077250895
B_SURVIVOR_K3,incremental,SEQ_SLOT_25,BTYD05,0.00038823030470380715
B_SURVIVOR_K3,incremental,SEQ_SLOT_25,FRESH,0.0002714554458729257
B_SURVIVOR_K3,incremental,SEQ_SLOT_25,ZERO2D,6.78848645305763e-05
B_SURVIVOR_K3,incremental,SEQ_SLOT_25,SEQ_SLOT_25,0.0
B_SURVIVOR_K3,incremental,SEQ_SLOT_25,SEQ_SLOT_50,5.157620258589013e-05
B_SURVIVOR_K3,incremental,SEQ_SLOT_25,SEQ_SLOT_75,-4.982383054552564e-05
B_SURVIVOR_K3,incremental,SEQ_SLOT_25,BTYD05_FRESH1,0.0005290321153030852
B_SURVIVOR_K3,incremental,SEQ_SLOT_50,BTYD05,0.000336654102117917
B_SURVIVOR_K3,incremental,SEQ_SLOT_50,FRESH,0.00021987924328703556
B_SURVIVOR_K3,incremental,SEQ_SLOT_50,ZERO2D,1.6308661944686165e-05
B_SURVIVOR_K3,incremental,SEQ_SLOT_50,SEQ_SLOT_25,-5.157620258589013e-05
B_SURVIVOR_K3,incremental,SEQ_SLOT_50,SEQ_SLOT_50,0.0
B_SURVIVOR_K3,incremental,SEQ_SLOT_50,SEQ_SLOT_75,-0.00010140003313141577
B_SURVIVOR_K3,incremental,SEQ_SLOT_50,BTYD05_FRESH1,0.0004774559127171951
B_SURVIVOR_K3,incremental,SEQ_SLOT_75,BTYD05,0.0004380541352493328
B_SURVIVOR_K3,incremental,SEQ_SLOT_75,FRESH,0.00032127927641845133
B_SURVIVOR_K3,incremental,SEQ_SLOT_75,ZERO2D,0.00011770869507610193
B_SURVIVOR_K3,incremental,SEQ_SLOT_75,SEQ_SLOT_25,4.982383054552564e-05
B_SURVIVOR_K3,incremental,SEQ_SLOT_75,SEQ_SLOT_50,0.00010140003313141577
B_SURVIVOR_K3,incremental,SEQ_SLOT_75,SEQ_SLOT_75,0.0
B_SURVIVOR_K3,incremental,SEQ_SLOT_75,BTYD05_FRESH1,0.0005788559458486109
B_SURVIVOR_K3,incremental,BTYD05_FRESH1,BTYD05,-0.0001408018105992781
B_SURVIVOR_K3,incremental,BTYD05_FRESH1,FRESH,-0.00025757666943015955
B_SURVIVOR_K3,incremental,BTYD05_FRESH1,ZERO2D,-0.00046114725077250895
B_SURVIVOR_K3,incremental,BTYD05_FRESH1,SEQ_SLOT_25,-0.0005290321153030852
B_SURVIVOR_K3,incremental,BTYD05_FRESH1,SEQ_SLOT_50,-0.0004774559127171951
B_SURVIVOR_K3,incremental,BTYD05_FRESH1,SEQ_SLOT_75,-0.0005788559458486109
B_SURVIVOR_K3,incremental,BTYD05_FRESH1,BTYD05_FRESH1,0.0
C_PSEUDO_MATCHED_3F,standalone,CAP,CAP,0.0
C_PSEUDO_MATCHED_3F,standalone,CAP,DIST,0.00875155748344647
C_PSEUDO_MATCHED_3F,standalone,CAP,ETX-AVG3,0.010089471417688012
C_PSEUDO_MATCHED_3F,standalone,CAP,SEQ-AVG3,0.009860401655496842
C_PSEUDO_MATCHED_3F,standalone,CAP,BTYD,-0.04002428056952834
C_PSEUDO_MATCHED_3F,standalone,DIST,CAP,-0.00875155748344647
C_PSEUDO_MATCHED_3F,standalone,DIST,DIST,0.0
C_PSEUDO_MATCHED_3F,standalone,DIST,ETX-AVG3,0.0013379139342415414
C_PSEUDO_MATCHED_3F,standalone,DIST,SEQ-AVG3,0.0011088441720503717
C_PSEUDO_MATCHED_3F,standalone,DIST,BTYD,-0.04877583805297481
C_PSEUDO_MATCHED_3F,standalone,ETX-AVG3,CAP,-0.010089471417688012
C_PSEUDO_MATCHED_3F,standalone,ETX-AVG3,DIST,-0.0013379139342415414
C_PSEUDO_MATCHED_3F,standalone,ETX-AVG3,ETX-AVG3,0.0
C_PSEUDO_MATCHED_3F,standalone,ETX-AVG3,SEQ-AVG3,-0.0002290697621911697
C_PSEUDO_MATCHED_3F,standalone,ETX-AVG3,BTYD,-0.05011375198721635
C_PSEUDO_MATCHED_3F,standalone,SEQ-AVG3,CAP,-0.009860401655496842
