fold,counts_k0_k3,pi_k0_k3,missing_k,max_weight,ess,n,ess_fraction,supported
2025-09-04,"[0, 685, 6552, 181281]","[0.0, 0.0036336052790714945, 0.034755301880987494, 0.9616110928399411]",[0],4.647459564525646,175476.23413442838,188518,0.9308195192736417,False
2025-09-18,"[0, 76, 4665, 186284]","[0.0, 0.0003978536840727653, 0.024420887318413822, 0.9751812589975134]",[0],42.44533677572569,108807.75600570616,191025,0.5695995602968521,False
2025-10-02,"[0, 140, 5889, 187665]","[0.0, 0.0007227895546583786, 0.03040362633845137, 0.9688735841068903]",[0],23.363693483248017,138010.32865255972,193694,0.712517314178858,False
