exp,fold,n,offset,rmsle,rmsle_cal,d_rmsle_cal,auc,d_auc,var_vs_base,var_cal_vs_base,corr_resid,corr_pred,mean_z,std_z
SEQ-03A-BASE-S42,2025-10-16,197379,0.08292672043414259,1.7500456236602866,1.7480797590300503,0.0,0.8424762537908504,0.0,0.0,0.0,1.0,1.0,2.548592409297773,1.5411903626467247
SEQ-03A-B-S42,2025-10-16,197379,0.09087763819055406,1.7522199203426663,1.749861681425868,0.0017819223958177588,0.8412300785515747,-0.0012461752392757264,0.032362005773562574,0.032362005773562574,0.9947107041840391,0.9932038963859038,2.5406414915413618,1.5443757410456764
SEQ-03A-A25-S42,2025-10-16,197379,0.06045430407349805,1.7501769906005273,1.7491325780358982,0.0010528190058478604,0.8419025876760284,-0.0005736661148220135,0.030440054190248634,0.030440054190248634,0.9950224499196562,0.9935824699204729,2.5710648256584174,1.5384533697318465
