variant,cal_d212,cal_d254,cal_d289,gain_212_to_289,best_depth,best_cal,full_vs_best
BASE,1.7511638887,1.7473629142,1.7480793217,-0.0030845670,275,1.7472079942,0.0008713275
B,1.7515119438,1.7483512669,1.7498629677,-0.0016489761,261,1.7483215787,0.0015413890
A25,1.7511912276,1.7477001182,1.7491322383,-0.0020589893,254,1.7477001182,0.0014321200
