variable,fold,segment,quartile,n,p_y_positive,mean_log1p_y,strongest_signed_residual,etx_loss_minus_seq_loss
current_gap_ratio,2025-09-04,all,1,47102,0.6077873551016942,2.6015901239977106,-0.01233620181692369,0.00646241763029656
current_gap_ratio,2025-09-04,all,2,47140,0.6037971998302928,2.5988167443844694,-0.0008329353579007319,0.0020625027829028935
current_gap_ratio,2025-09-04,all,3,47119,0.5960440586599886,2.575765321237547,-0.014235620288472741,0.0028226971669216496
current_gap_ratio,2025-09-04,all,4,47157,0.5931038870157135,2.5909917809159784,0.027378597941444833,0.004431284444144831
current_gap_ratio,2025-09-04,rec_buy_15_60,1,13298,0.5871559633027523,2.308315076876323,-0.057376599933623096,0.020869060481262868
current_gap_ratio,2025-09-04,rec_buy_15_60,2,13309,0.5889999248628748,2.3411910698443563,-0.011619016161113832,0.003994204202853769
current_gap_ratio,2025-09-04,rec_buy_15_60,3,13303,0.583251898068105,2.3314065142752147,-0.014106320869362346,-0.0003437643660437868
current_gap_ratio,2025-09-04,rec_buy_15_60,4,13314,0.5749586901006459,2.354883533834941,0.020029462784605875,0.0047897140340296615
current_gap_ratio,2025-09-04,w180_days_buy_2_15,1,26970,0.6361142009640341,2.519414219029414,-0.03492338914966615,0.014558477816988017
current_gap_ratio,2025-09-04,w180_days_buy_2_15,2,26981,0.6302583299358808,2.519217244624001,-0.0261178181440727,0.003207013930335034
current_gap_ratio,2025-09-04,w180_days_buy_2_15,3,26976,0.6211817912218268,2.4912304528693943,-0.04733612857943342,0.001942431549594937
current_gap_ratio,2025-09-04,w180_days_buy_2_15,4,26986,0.6213962795523604,2.5331502032603725,0.004305959620170009,0.001136286115509418
current_gap_ratio,2025-09-04,intersection,1,10823,0.5853275431950475,2.2501262643092526,-0.06884551646746673,0.02626239930659532
current_gap_ratio,2025-09-04,intersection,2,10827,0.5888057633693544,2.2956475103884544,-0.013410169399220307,0.0026534981223319378
current_gap_ratio,2025-09-04,intersection,3,10824,0.5819475240206947,2.2803876687012425,-0.022270952308810932,-0.0018834088080940754
current_gap_ratio,2025-09-04,intersection,4,10828,0.5771148873291466,2.3091650652553737,0.013185220420768202,-0.0007031471600441579
current_gap_ratio,2025-09-04,w180_days_buy_0_1,1,10384,0.2108050847457627,0.7613165558775569,-0.009812805568140527,0.004196530093471975
current_gap_ratio,2025-09-04,w180_days_buy_0_1,2,10400,0.20951923076923076,0.7545792480398548,0.010733769403029574,0.004332354082727615
current_gap_ratio,2025-09-04,w180_days_buy_0_1,3,10389,0.19896043892578688,0.7059162939920963,-0.014344242685666805,0.009525530219152697
current_gap_ratio,2025-09-04,w180_days_buy_0_1,4,10407,0.19582972998943018,0.7035836384930029,0.008825142599534713,0.0010789258975686397
current_gap_ratio,2025-09-04,w180_days_buy_16plus,1,9748,0.9522979072630283,4.78928861480143,0.04746821916345172,-0.013523401722666315
current_gap_ratio,2025-09-04,w180_days_buy_16plus,2,9759,0.9508146326467876,4.784260341578976,0.05674649828694307,-0.0035207033639404
current_gap_ratio,2025-09-04,w180_days_buy_16plus,3,9754,0.9494566331761328,4.801136876820105,0.07742398497515288,-0.001882007291415747
current_gap_ratio,2025-09-04,w180_days_buy_16plus,4,9764,0.9383449405981156,4.762557671207875,0.11092264008413032,0.017111212781995472
current_gap_ratio,2025-09-04,never_purchased,1,5691,0.1289755754700404,0.46506234051227463,-0.021494505117741314,-0.0007223784403805626
current_gap_ratio,2025-09-04,never_purchased,2,5563,0.1303253640122236,0.4759897206857511,0.0230773273499721,-0.0007394552156371161
current_gap_ratio,2025-09-04,never_purchased,3,5216,0.1138803680981595,0.38933041890684095,-0.01797746936114623,0.006319718121534937
current_gap_ratio,2025-09-04,never_purchased,4,4495,0.10611790878754171,0.36878584863432434,0.043618534458992116,0.0002633124254101388
current_gap_ratio,2025-09-18,all,1,47728,0.6160325175997318,2.6393841459581706,-0.022994619718151667,-0.0010038385165461944
current_gap_ratio,2025-09-18,all,2,47769,0.6147920199292428,2.6386795666375558,-0.01153460710059099,-0.0020645994621992015
current_gap_ratio,2025-09-18,all,3,47745,0.6101371871400146,2.6490198127581466,0.011641644489448806,0.0019712203748257534
current_gap_ratio,2025-09-18,all,4,47783,0.6004855283259737,2.6361734904056737,0.022866993289398473,0.004880998178261901
current_gap_ratio,2025-09-18,rec_buy_15_60,1,14259,0.5986394557823129,2.338591031717418,-0.08481904406203476,0.0049663931690623634
current_gap_ratio,2025-09-18,rec_buy_15_60,2,14278,0.5998038941028155,2.3632772349376023,-0.0507277481451242,0.001006622666475989
current_gap_ratio,2025-09-18,rec_buy_15_60,3,14267,0.5944487278334618,2.375121510461804,-0.03011592578080193,0.007350464143725476
current_gap_ratio,2025-09-18,rec_buy_15_60,4,14280,0.5798319327731093,2.3731689992295757,-0.019580480157952065,0.00522073521276712
current_gap_ratio,2025-09-18,w180_days_buy_2_15,1,27234,0.6440846001321877,2.5452704222347746,-0.048280879898662,0.004993681618189262
current_gap_ratio,2025-09-18,w180_days_buy_2_15,2,27250,0.6433394495412844,2.5533122603131204,-0.03106326620058227,0.00025348954368654357
current_gap_ratio,2025-09-18,w180_days_buy_2_15,3,27240,0.6379221732745962,2.5709025190322863,-0.007205195326985927,0.004827949254638153
current_gap_ratio,2025-09-18,w180_days_buy_2_15,4,27255,0.6289121262153733,2.5759312816860467,0.007758452060690709,0.003757927596240471
current_gap_ratio,2025-09-18,intersection,1,11573,0.5982891212304502,2.286145934712394,-0.08359069914185355,0.00892608305811739
current_gap_ratio,2025-09-18,intersection,2,11580,0.5992227979274611,2.31260837700584,-0.04880531200250134,-0.0022450187288732036
current_gap_ratio,2025-09-18,intersection,3,11575,0.5945572354211663,2.318874700138749,-0.03708075517588719,0.005042491573564516
current_gap_ratio,2025-09-18,intersection,4,11581,0.580088075295743,2.320475987960466,-0.026089276345011965,0.006656325452952597
current_gap_ratio,2025-09-18,w180_days_buy_0_1,1,10475,0.21804295942720764,0.7793927866195012,-0.027356350633883596,-0.006530451078941377
current_gap_ratio,2025-09-18,w180_days_buy_0_1,2,10488,0.213768115942029,0.7655478794305338,-0.015273973113515029,-0.011204892283050051
current_gap_ratio,2025-09-18,w180_days_buy_0_1,3,10482,0.21074222476626597,0.7540059552340725,-0.0015953981594077462,-0.001537159330165328
current_gap_ratio,2025-09-18,w180_days_buy_0_1,4,10495,0.2020009528346832,0.7331574484216545,0.0025784556544874134,-0.00015169956456087365
current_gap_ratio,2025-09-18,w180_days_buy_16plus,1,10019,0.9558838207405929,4.839853518246374,0.0502996353071313,-0.011528361598520033
current_gap_ratio,2025-09-18,w180_days_buy_16plus,2,10031,0.9565347422988735,4.829055823518039,0.0454262573414696,0.0011948428361456451
current_gap_ratio,2025-09-18,w180_days_buy_16plus,3,10023,0.952309687718248,4.843118419528551,0.07670585656617199,-0.002123607383168189
current_gap_ratio,2025-09-18,w180_days_buy_16plus,4,10033,0.9400976776637098,4.790469788549371,0.0851326659363457,0.01319630282531852
current_gap_ratio,2025-09-18,never_purchased,1,5652,0.13287331917905165,0.47544127958400406,-0.030933059861565578,-0.00746081648856304
current_gap_ratio,2025-09-18,never_purchased,2,5474,0.14048227986846912,0.5077031178661034,0.033268886974788914,-0.025963246331083035
current_gap_ratio,2025-09-18,never_purchased,3,5070,0.12268244575936883,0.42037050257374753,0.00326648790917644,-0.00707485642621492
current_gap_ratio,2025-09-18,never_purchased,4,4376,0.09712065813528337,0.33562574225382324,-0.007049375408220374,-0.0056838104099793535
current_gap_ratio,2025-10-02,all,1,48394,0.6234037277348432,2.6507513331721935,-0.007463379403071833,-0.005569062909612597
current_gap_ratio,2025-10-02,all,2,48433,0.6116697293167881,2.618107946746932,-0.026445926704087103,0.0025101438738704446
current_gap_ratio,2025-10-02,all,3,48414,0.6113520882389392,2.6465529346996104,0.010595873389565481,-0.002898751321173872
current_gap_ratio,2025-10-02,all,4,48453,0.6032650197098219,2.6349224091958345,0.023301957290753444,-0.00449011669438308
current_gap_ratio,2025-10-02,rec_buy_15_60,1,14166,0.6100522377523648,2.3612745970512155,-0.031172675325822217,-0.0033573210218101777
current_gap_ratio,2025-10-02,rec_buy_15_60,2,14178,0.5861898716321061,2.3027355043105646,-0.07609150232531281,0.008018713730200838
current_gap_ratio,2025-10-02,rec_buy_15_60,3,14172,0.589613322043466,2.3446116056382986,-0.029784948070662173,0.0013750998648839423
current_gap_ratio,2025-10-02,rec_buy_15_60,4,14183,0.5780864415144892,2.3609104196276895,-0.0027207378949092175,-0.006377176435681315
current_gap_ratio,2025-10-02,w180_days_buy_2_15,1,27525,0.6520980926430517,2.5557591033044496,-0.00709920099120042,-0.004607753291195492
current_gap_ratio,2025-10-02,w180_days_buy_2_15,2,27542,0.6400406651659284,2.5328079392548415,-0.019884526659778617,0.008788203093055941
current_gap_ratio,2025-10-02,w180_days_buy_2_15,3,27535,0.640348647176321,2.5697552360408045,0.021529092749276217,-0.0035116108521884267
current_gap_ratio,2025-10-02,w180_days_buy_2_15,4,27547,0.6305949831197589,2.5684968855689743,0.028105177641333485,-0.0035583308417852532
current_gap_ratio,2025-10-02,intersection,1,11528,0.6073039555863984,2.3040090946689027,-0.035689873821516734,-0.0018309185719569273
current_gap_ratio,2025-10-02,intersection,2,11534,0.5853996878793133,2.2582374122550117,-0.06880109157317679,0.012584256406885558
current_gap_ratio,2025-10-02,intersection,3,11531,0.5912756916139104,2.2997849031867754,-0.024346582623858325,0.0006448638056268385
current_gap_ratio,2025-10-02,intersection,4,11535,0.576766363242306,2.3044787631306924,-0.012108511496054413,-0.0034716758453082696
current_gap_ratio,2025-10-02,w180_days_buy_0_1,1,10494,0.21555174385363066,0.7565246100613328,-0.04668384178394255,-0.008156640857357598
current_gap_ratio,2025-10-02,w180_days_buy_0_1,2,10506,0.20159908623643633,0.7177257313441421,-0.05712363337382682,-0.0029943070606724344
current_gap_ratio,2025-10-02,w180_days_buy_0_1,3,10502,0.20215197105313273,0.7192730355991518,-0.034736157350007124,-0.003444129485114681
current_gap_ratio,2025-10-02,w180_days_buy_0_1,4,10516,0.2005515405096995,0.7210992036065534,-0.008199629927665491,0.0013549547510676694
current_gap_ratio,2025-10-02,w180_days_buy_16plus,1,10375,0.9598072289156626,4.818720138900871,0.031240767241564008,-0.005502171754267509
current_gap_ratio,2025-10-02,w180_days_buy_16plus,2,10385,0.9512758786711604,4.766855983469984,-0.012812233275879008,-0.008571276010241198
current_gap_ratio,2025-10-02,w180_days_buy_16plus,3,10377,0.9485400404741254,4.800828557030075,0.027463059643526768,-0.0007206026593070369
current_gap_ratio,2025-10-02,w180_days_buy_16plus,4,10390,0.9384023099133783,4.748068581412003,0.042450790802925305,-0.012876514788884756
current_gap_ratio,2025-10-02,never_purchased,1,5641,0.13738698812267328,0.4801721729608585,-0.04299227272875003,-0.016455521994662964
current_gap_ratio,2025-10-02,never_purchased,2,5463,0.12374153395570199,0.44174637943097367,-0.04291703792875895,-0.0062021581791263285
current_gap_ratio,2025-10-02,never_purchased,3,4958,0.11698265429608713,0.40819323927123374,-0.020378194297109894,-0.011231828109982156
current_gap_ratio,2025-10-02,never_purchased,4,4295,0.10360884749708964,0.35920163091350893,-0.00022108457015654852,-0.007199113731472193
current_gap_ratio,2025-10-16,all,1,49318,0.6218824769860902,2.644284873126065,-0.006828621109113212,-0.006116393261289793
current_gap_ratio,2025-10-16,all,2,49352,0.615638677257254,2.6233159597358404,-0.01753122036647069,-0.004193058910259231
current_gap_ratio,2025-10-16,all,3,49335,0.6118374379243945,2.6388647732933848,0.00827277175244549,-0.005938025746035483
