seed_i,seed_j,correlation,var_difference,mean_abs_difference
0,1,0.9997405646765636,3.969059616792947e-05,0.004094182513654232
0,2,0.999741803051317,3.9501490391558036e-05,0.004094531759619713
1,2,0.9997428628001312,3.9332357118837535e-05,0.004074980970472097
