feature,gain
clk_since_third_purchase,80362266
clk_n_events,40823936
clk_rec_over_ewma,14131978
clk_n_intervals,8187776.5
clk_since_prev_purchase,2256128.3
clk_gap_last3,2171031.7
clk_gap_last4,2135358.6
clk_recency,1632180.2
sclk_since_third_purchase,1560133.5
clk_ends_next30,1024125.5
clk_gap_mean,943153.11
sclk_rec_over_ewma,879352.86
clk_gap_ewma,780826.39
clk_available_days,662232.93
clk_rec_minus_median,546919.54
sclk_n_events,523547.16
clk_gap_trend,452551.78
clk_gap_last5,385124.35
clk_gap_std,268515.37
sclk_recency,258697.87
sclk_gap_mean,217641.84
clk_rec_over_median,202339.79
clk_rec_over_mean,191478.88
clk_recent_old_ratio,136282.02
sclk_n_intervals,130558.73
sclk_since_prev_purchase,113583.63
clk_risk_at_recency,111058.46
sclk_gap_std,101711.94
sclk_rec_minus_median,92288.088
sclk_gap_last3,82208.405
cclk_recency,77632.466
sclk_rec_over_median,66630.16
clk_channel_rec_diff,57512.641
clk_near_7,56757.77
clk_gap_last2,38717.976
sclk_gap_ewma,38242.5
sclk_gap_median,35608.003
clk_gap_q90,33927.841
clk_gap_median,30149.417
clk_gap_q75,26746.013
clk_gap_iqr,26569.365
sclk_burstiness,22781.782
clk_gap_max,22290.968
clk_gap_q10,21803.407
sclk_gap_last2,21712.471
clk_search_share,21186.01
clk_gap_q25,20655.212
clk_regularity,19109.563
clk_gap_cv,18856.949
clk_burstiness,17715.975
clk_share_near_7,17454.503
sclk_regularity,17431.843
sclk_gap_cv,15123.806
cclk_gap_std,14155.771
clk_gap_last1,13151.907
sclk_gap_last1,12934.748
cclk_rec_over_ewma,12930.499
cclk_gap_last2,12156.394
clk_share_near_14,11911.176
clk_gap_min,11524.302
cclk_gap_last1,10785.391
clk_catalog_share,10584.122
clk_share_near_30,10553.674
sclk_rec_over_mean,9854.768
cclk_since_third_purchase,9755.5728
cclk_rec_minus_median,8901.7552
cclk_gap_last3,8490.0093
cclk_gap_median,7795.4737
cclk_since_prev_purchase,7733.5323
cclk_gap_mean,7252.9069
cclk_gap_ewma,6218.063
cclk_regularity,5164.4099
clk_near_14,4977.4995
cclk_rec_over_median,4755.4178
cclk_gap_cv,4407.5481
clk_share_near_60,4190.0686
cclk_rec_over_mean,3968.9158
clk_cold_2,3868.012
cclk_burstiness,3666.1332
cclk_n_events,2190.1964
clk_near_30,1982.298
clk_cold_1,1547.3479
clk_share_near_90,1450.6339
clk_cold_0,921.65397
clk_near_60,359.6763
clk_near_90,147.5728
cclk_n_intervals,145.2884
clk_hist_3plus,0
