model,fold,n,positive_rate,logloss,brier,precision_05,recall_05,roc_auc,pr_auc
R0,2025-09-04,188518,0.6001814150372908,0.5656607748696216,0.1781494215181473,0.7499383869300791,0.8337177957488179,0.8047448748823223,0.8599838487391606
R0,2025-09-18,191025,0.610359900536579,0.5564613727699552,0.1753884095523096,0.7606928076901968,0.8321011372797914,0.8075255838180694,0.8669952451345455
R0,2025-10-02,193694,0.6124195896620442,0.5406015829191746,0.17321930965310403,0.7667572216989577,0.8303940247171688,0.8110684698610944,0.8735479649435993
R0,2025-10-16,197379,0.6128615506208868,0.5336176180785658,0.17182660052244353,0.7722974068384119,0.8269927086950052,0.8135697615502919,0.876407518481296
R1_RAW,2025-09-04,188518,0.6001814150372908,0.48687454153801496,0.16186815719095896,0.7682302025489666,0.853462371293473,0.8364913252902046,0.8866454715696642
R1_RAW,2025-09-18,191025,0.610359900536579,0.4796651895857749,0.15921475726908396,0.7812887971595537,0.8473935193920785,0.8388174198816802,0.8925727927258482
R1_RAW,2025-10-02,193694,0.6124195896620442,0.47535330833313666,0.15731750181041956,0.7955149703018304,0.8298713560722294,0.8412318476050743,0.8943481680156642
R1_RAW,2025-10-16,197379,0.6128615506208868,0.4738411557910938,0.15687335742866276,0.7954272437011981,0.8320271811914092,0.8421097623831781,0.8953582667144458
CLOCK,2025-09-04,188518,0.6001814150372908,0.4852985127226041,0.16124893145749217,0.7760656540911318,0.83995757656105,0.8364913252902045,0.8866454715696642
CLOCK,2025-09-18,191025,0.610359900536579,0.4786006770840644,0.15879643321962406,0.7910231778604423,0.8298368698217747,0.8388174198816802,0.8925727927258482
CLOCK,2025-10-02,193694,0.6124195896620442,0.47584577354549157,0.15756215057796058,0.8080479943297838,0.8073123029454907,0.8412318476050743,0.8943481680303499
CLOCK,2025-10-16,197379,0.6128615506208868,0.4741053819410536,0.15704669934301213,0.8070969121687203,0.8111535472777475,0.8421097624372709,0.8953582667144458
EXISTING_B30,2025-09-04,188518,0.6001814150372908,0.47938043034163896,0.159014359335598,0.7804822024791016,0.8408679128551858,0.8407777797686522,0.889938309559913
EXISTING_B30,2025-09-18,191025,0.610359900536579,0.47328902809473333,0.15677237392512788,0.788655776168934,0.8418014649124311,0.8431862391055149,0.8957025423299324
EXISTING_B30,2025-10-02,193694,0.6124195896620442,0.47004338180961164,0.15536675282501697,0.7936368989829861,0.840737805803308,0.8454937694347774,0.8976910762496595
EXISTING_B30,2025-10-16,197379,0.6128615506208868,0.4680062720835128,0.15472277980350485,0.7945110286941245,0.8412033133277119,0.8467002083180017,0.898954456071154
