heldout_fold,selected_weight,base_rmsle,clock_rmsle,delta
2025-09-04,0.15,1.767492972891647,1.7669348208248976,-0.0005581520667494733
2025-09-18,0.15,1.7610285866435784,1.7604198929292736,-0.000608693714304831
2025-10-02,0.15,1.7494623096940387,1.749022108580338,-0.00044020111370079995
2025-10-16,0.15,1.742217797554085,1.7418800185531227,-0.0003377790009622128
