type,value,roc_auc,pr_auc,logloss,brier
R0_shrinkage,2.0,0.8032556882333388,0.8670152578609772,0.5573150183011291,0.17786986493416032
R0_shrinkage,5.0,0.8101977563701783,0.8722891688607328,0.543269169369029,0.1738928106487515
R0_shrinkage,10.0,0.8115085342910116,0.8732950897755345,0.5406620531143171,0.1730944188943154
R0_shrinkage,20.0,0.8109360320181477,0.8723370995321189,0.5416854813607244,0.1732960705953279
R1_seed,0,0.8410507323347762,0.8941165715340238,0.475913860265016,0.15764367436682025
R1_seed,1,0.8410293774779968,0.8941033219523508,0.47593079886531725,0.15765086182028648
R1_seed,2,0.8410170158041115,0.8940981573918388,0.47593481567505164,0.15765557441409442
