model,fold,bin,n,mean_pred,positive_rate,abs_error,p_min,p_max
R1_RAW,2025-09-18,2,19103,0.2816252112388611,0.25540491022352513,0.026220301015335956,0.14932410418987274,0.35137781500816345
R1_RAW,2025-09-18,3,19103,0.4070069193840027,0.38360466942365073,0.02340224996035195,0.3513789474964142,0.46177956461906433
R1_RAW,2025-09-18,4,19103,0.5122613310813904,0.48406009527299376,0.02820123580839662,0.46178075671195984,0.5632469654083252
R1_RAW,2025-09-18,5,19103,0.615295946598053,0.5900643877924934,0.025231558805559606,0.5632471442222595,0.6678888201713562
R1_RAW,2025-09-18,6,19102,0.7171347737312317,0.6889854465500994,0.028149327181132278,0.6678895354270935,0.7636130452156067
R1_RAW,2025-09-18,7,19102,0.8053105473518372,0.7841587268348864,0.021151820516950748,0.7636216282844543,0.845221757888794
R1_RAW,2025-09-18,8,19102,0.8795156478881836,0.8661396712386138,0.013375976649569798,0.8452227711677551,0.911260187625885
R1_RAW,2025-09-18,9,19102,0.9393875002861023,0.9410009423097058,0.001613442023603473,0.9112617373466492,0.9655386805534363
R1_RAW,2025-09-18,10,19102,0.9845819473266602,0.9867029630405193,0.0021210157138591423,0.9655394554138184,0.9984049797058105
R1_RAW,2025-10-02,1,19370,0.1360347718000412,0.12157976251935984,0.014455009280681358,0.1360347867012024,0.1360347867012024
R1_RAW,2025-10-02,2,19370,0.26399508118629456,0.24651522973670625,0.0174798514495883,0.1360347867012024,0.330692321062088
R1_RAW,2025-10-02,3,19370,0.38457316160202026,0.3883324728962313,0.003759311294211032,0.330692321062088,0.4365854263305664
R1_RAW,2025-10-02,4,19370,0.48845574259757996,0.4882808466701084,0.00017489592747155225,0.4365854263305664,0.5426180362701416
R1_RAW,2025-10-02,5,19369,0.5965558886528015,0.594300170375342,0.0022557182774595175,0.5426275730133057,0.6501646041870117
R1_RAW,2025-10-02,6,19369,0.7022348642349243,0.6946667355051886,0.007568128729735668,0.6501840949058533,0.7523440718650818
