fold,scope,group,n,real_score,vol_score,real_minus_vol
2025-10-16,pilot_seed42,A,98707,1.733614659605331,1.7334480710883424,0.00016658851698858612
2025-10-16,pilot_seed42,B,98672,1.7491307103880755,1.7489078892770358,0.00022282111103977265
