arm,seed,rounds,exp_id,wcv,fold_cal
baseline,42,300,S1-ROUNDS-R300,1.7510761354262978,"[1.7710585353628023, 1.764798728982834, 1.7524253461227577, 1.744473081696871]"
baseline,43,300,S1-SEED43,1.7511052585245082,"[1.7710202478070438, 1.764697588899446, 1.7524624370743882, 1.7445392129955166]"
baseline,44,300,S1-SEED44,1.751110026089686,"[1.7712143301217254, 1.7645753083608307, 1.7525046254807388, 1.7445333678223682]"
dense,42,200,SAMPLE-DENSE-S3-F422-S42-R200,1.7523386485160688,"[1.7717159944731091, 1.7658201292311075, 1.7541446030311076, 1.7456431328351596]"
