left,right,corr,cosine,covariance,rms_a,rms_b,projection_b_on_a,projection_a_on_b,left_residual_alignment,right_residual_alignment,left_positive_alignment_folds,right_positive_alignment_folds
SEQ65,BTYD05,-0.0027849679478207197,-0.0027849679478207418,-1.767131285702372e-06,0.026771154274818475,0.02370181029373745,-0.0024656681327885743,-0.0031456165439495256,0.01747992290587806,0.024858366097975305,4,4
SEQ65,compound,0.7306781870385397,0.7306781870385382,0.0006790928348601236,0.026771154274818475,0.034716497945444,0.9475343318672111,0.5634525262655551,0.01747992290587806,0.029776854401470012,4,4
SEQ65,fallback_occ,0.07297910965604777,0.0729791096560478,8.248535544087734e-05,0.026771154274818475,0.04221931597458343,0.11509134266245032,0.04627585640224783,0.01747992290587806,0.02433344740466316,4,4
SEQ65,DIST_primitive,-0.5964044954250906,-0.5964044954250902,-0.0014419516728649648,0.026771154274818475,0.09031142607400389,-2.011946886782185,-0.17679309752164674,0.01747992290587806,-0.009622180343878989,4,0
SEQ65,ETX_primitive,0.6016555669935759,0.6016555669935758,0.0015316629393035297,0.026771154274818475,0.09509291659495264,2.137120501555101,0.16938184862807473,0.01747992290587806,0.010787998605310874,4,4
SEQ65,SEQ_primitive,0.7599628744472713,0.7599628744472707,0.002352310455843985,0.026771154274818475,0.11562058580950615,3.2821652677008233,0.1759641954113819,0.01747992290587806,0.01701377597280976,4,4
BTYD05,compound,0.6806844793106849,0.6806844793106844,0.0005600970364789018,0.02370181029373745,0.034716497945444,0.997011664283248,0.46472010004772274,0.024858366097975305,0.029776854401470012,4,4
BTYD05,fallback_occ,0.1009525156988829,0.10095251569888303,0.00010102057969816879,0.02370181029373745,0.04221931597458343,0.17982365506681955,0.05667447045354662,0.024858366097975305,0.02433344740466316,4,4
BTYD05,DIST_primitive,-0.09488477461069453,-0.09488477461069461,-0.0002031050623265495,0.02370181029373745,0.09031142607400389,-0.3615411313146168,-0.02490206417229942,0.024858366097975305,-0.009622180343878989,4,0
BTYD05,ETX_primitive,-0.06767767786715731,-0.06767767786715755,-0.0001525369767583239,0.02370181029373745,0.09509291659495264,-0.27152642338303296,-0.016868590630789253,0.024858366097975305,0.010787998605310874,4,4
BTYD05,SEQ_primitive,0.15108681732901566,0.15108681732901563,0.000414040911527967,0.02370181029373745,0.11562058580950615,0.7370216076824422,0.03097226205130043,0.024858366097975305,0.01701377597280976,4,4
compound,fallback_occ,0.1223857785343513,0.12238577853435151,0.00017938166736700212,0.034716497945444,0.04221931597458343,0.14883539989710484,0.10063653403568201,0.029776854401470012,0.02433344740466316,4,4
compound,DIST_primitive,-0.5016939172354448,-0.5016939172354444,-0.0015729591515482673,0.034716497945444,0.09031142607400389,-1.3051055204182058,-0.1928555068178638,0.029776854401470012,-0.009622180343878989,4,0
compound,ETX_primitive,0.39455534494496897,0.39455534494496824,0.0013025428155800322,0.034716497945444,0.09509291659495264,1.080737422533383,0.14404416556588173,0.029776854401470012,0.010787998605310874,4,4
compound,SEQ_primitive,0.6598839636829671,0.6598839636829668,0.002648735844579754,0.034716497945444,0.11562058580950615,2.1976920185676785,0.19813824769211316,0.029776854401470012,0.01701377597280976,4,4
fallback_occ,DIST_primitive,-0.09170660473211824,-0.0917066047321184,-0.00034966688738984324,0.04221931597458343,0.09031142607400389,-0.19616978775185678,-0.04287154228933197,0.02433344740466316,-0.009622180343878989,4,0
fallback_occ,ETX_primitive,0.009035507987583142,0.009035507987583138,3.6275377007405276e-05,0.04221931597458343,0.09509291659495264,0.020351177834655797,0.004011581307822594,0.02433344740466316,0.010787998605310874,4,4
fallback_occ,SEQ_primitive,0.10792750564278135,0.10792750564278163,0.0005268397053559637,0.04221931597458343,0.11562058580950615,0.29556711517755274,0.03941015720668139,0.02433344740466316,0.01701377597280976,4,4
DIST_primitive,ETX_primitive,-0.32040423027302645,-0.3204042302730269,-0.0027516241305624257,0.09031142607400389,0.09509291659495264,-0.337367862191174,-0.30429356877709296,-0.009622180343878989,0.010787998605310874,0,4
DIST_primitive,SEQ_primitive,-0.48738824423360316,-0.48738824423360244,-0.005089239806068952,0.09031142607400389,0.11562058580950615,-0.6239754676089287,-0.3806997437373522,-0.009622180343878989,0.01701377597280976,0,4
ETX_primitive,SEQ_primitive,0.009435756575109758,0.00943575657510978,0.00010374330076730319,0.09509291659495264,0.11562058580950615,0.011472649507818322,0.007760500491543242,0.010787998605310874,0.01701377597280976,4,4
