fold,depth,full,train_max,seen_in_train,rmsle,rmsle_cal,offset,mean_z,std_z,q99,zero_share,var_vs_full,corr_vs_full,best_cal
2025-09-04,90,0,212,1,1.8190939784799516,1.810871076900284,0.17276818395764879,2.419022560119629,1.538203239440918,6.15625,0.00002121813301647588,0.14491015672683716,0.9694983015645761,1.770131936062884
2025-09-04,120,0,212,1,1.7978600140597858,1.7937109390513852,0.12207250829916923,2.4697182178497314,1.5645854473114014,6.1875,0.00004774079928707073,0.08748706430196762,0.9819796744578648,1.770131936062884
2025-09-04,150,0,212,1,1.7854039040921004,1.783336269727836,0.08590023178385789,2.5058906078338623,1.5605194568634033,6.15625,0.00008487253206590353,0.054175931960344315,0.9888141864993343,1.770131936062884
2025-09-04,180,0,212,1,1.7775430774704344,1.776840965451745,0.0499557379644563,2.541835069656372,1.5492746829986572,6.15625,0.00015383146436945014,0.031693458557128906,0.9933810397691218,1.770131936062884
2025-09-04,200,0,212,1,1.7740802076007876,1.7740536981076305,0.00969841386485109,2.58209228515625,1.543777585029602,6.15625,0.0001379178646070932,0.02015068009495735,0.9957729038358637,1.770131936062884
2025-09-04,212,0,212,1,1.7727774956346647,1.7727344932411133,-0.01234867241733669,2.6041078567504883,1.5428974628448486,6.1875,0.00011669973159061734,0.014769840985536575,0.9969001254842227,1.770131936062884
2025-09-04,220,0,212,0,1.7722472990956426,1.7720693105209375,-0.02511891417972931,2.616842269897461,1.5424456596374512,6.21875,0.0001432223978612122,0.011451080441474915,0.9975962519483168,1.770131936062884
2025-09-04,235,0,212,0,1.7715632996937338,1.770860428838277,-0.04991334179983646,2.6416313648223877,1.5430982112884521,6.25,0.0001379178646070932,0.005452984478324652,0.9988557494023336,1.770131936062884
2025-09-04,247,1,212,0,1.7716843222778924,1.770131936062884,-0.07417993696572213,2.66586971282959,1.5439465045928955,6.28125,0.00013261333135297426,0.0,1.0,1.770131936062884
