axis,value,rmsle_cal,d_cal,var_vs_full,corr_vs_full,mean_z
full,365,1.7430640707522478,0.0,0.0,1.0,2.6387503147125244
depth_clip,90,1.7954625554655668,0.05239848471331898,0.1896226555109024,0.961276745752785,2.3197879791259766
depth_clip,120,1.7759963585831604,0.03293228783091262,0.11734069138765335,0.9762360186764946,2.4177935123443604
depth_clip,150,1.7638808365471934,0.020816765794945624,0.07251960039138794,0.9853796116113067,2.486593008041382
depth_clip,180,1.7556509019691344,0.01258683121688664,0.04501044377684593,0.9909490334585506,2.5346243381500244
depth_clip,220,1.748888277695971,0.00582420694372332,0.020978370681405067,0.9957867617204786,2.585451602935791
depth_clip,254,1.74550221859014,0.0024381478378923127,0.007839984260499477,0.9984249025384525,2.619100570678711
depth_clip,289,1.7430640707522478,0.0,0.0,1.0,2.6387503147125244
n_tok,64,1.7618608527343407,0.01879678198209289,0.07208508253097534,0.985832302067733,2.50756573677063
n_tok,96,1.7488848376500798,0.005820766897832064,0.02281041257083416,0.9955159266516711,2.589484214782715
n_tok,128,1.7447875094868677,0.0017234387346198865,0.006709234789013863,0.9986696770750516,2.622248888015747
n_tok,160,1.743416408213293,0.0003523374610452379,0.001617927453480661,0.9996764975795287,2.634294033050537
