fold,depth,full,train_max,seen_in_train,rmsle,rmsle_cal,offset,mean_z,std_z,q99,zero_share,var_vs_full,corr_vs_full,best_cal
2025-09-18,90,0,226,1,1.82251244297712,1.8068789339419602,0.23820185323207652,2.402611255645752,1.5425009727478027,6.1875,0.0,0.16724050045013428,0.965607432717747,1.764021476001431
2025-09-18,120,0,226,1,1.7976267102943144,1.7888444049491574,0.17747530657996946,2.4633378982543945,1.563185453414917,6.21875,0.000026174584478471403,0.10216140747070312,0.9791865191495952,1.764021476001431
2025-09-18,150,0,226,1,1.784576081337851,1.7791178072446123,0.13946905760161538,2.5013439655303955,1.5660579204559326,6.21875,0.00013087292239235702,0.06547901779413223,0.9866815721527258,1.764021476001431
2025-09-18,180,0,226,1,1.7755901311126006,1.7724033416829672,0.10633300567327826,2.534480094909668,1.55039644241333,6.1875,0.0002146315927234655,0.04230249300599098,0.9913815641723644,1.764021476001431
2025-09-18,212,0,226,1,1.7689172972715859,1.7681155749673527,0.05325146143046631,2.58756160736084,1.547461986541748,6.1875,0.00031409501374165687,0.024152245372533798,0.9951267336249965,1.764021476001431
2025-09-18,220,0,226,1,1.7676252563509223,1.7672081467280139,0.03839808625182604,2.602415084838867,1.54965341091156,6.21875,0.0003297997644287397,0.020207758992910385,0.9959257761611292,1.764021476001431
2025-09-18,226,0,226,1,1.7667981854340926,1.7665583381782548,0.029111266995511424,2.6117019653320312,1.5509790182113647,6.21875,0.00032456484753304543,0.017635535448789597,0.9964472265215468,1.764021476001431
2025-09-18,240,0,226,0,1.7653678392354415,1.7653619528900453,0.004558847996776186,2.63625431060791,1.5558815002441406,6.28125,0.00031409501374165687,0.01155849453061819,0.997670703140349,1.764021476001431
2025-09-18,254,0,226,0,1.764384360384763,1.7640977688706039,-0.03180655902167712,2.672559976577759,1.5655680894851685,6.34375,0.000298390263054574,0.003686900483444333,0.9992527270583056,1.764021476001431
2025-09-18,261,1,226,0,1.764644001169759,1.764021476001431,-0.04692259139818765,2.687619686126709,1.5694113969802856,6.375,0.00029315534615887974,0.0,1.0,1.764021476001431
