gap_requested,gap_actual,n_cutoffs,last_cutoff,n_rows_int,c_hat,cond_rmse_pos,rmsle_cal
30,35,5,2025-09-11,603152,4.3044558356058795,1.1152480046429418,1.7472770505643374
60,63,5,2025-08-14,588499,4.328209707034647,1.1211414100945623,1.7510108371615931
90,91,5,2025-07-17,557607,4.294930767195035,1.119990610581373,1.7516209820399062
120,126,5,2025-06-12,529503,4.273226677116081,1.1209753368040332,1.7534195960322927
