ckpt,fold_ckpt,fold_panel,depth,train_max,avail,over_train,seen_in_train,rmsle,rmsle_cal,offset,bias,mean_z,std_z,zero_share,var_vs_clip,corr_vs_clip,d_cal_vs_clip
SEQ-01C-S42-V0904,2025-09-04,2025-10-16,212,212,289,0,1,1.7530429867839832,1.7529184762353591,-0.020919364754991118,-0.020823666524639517,2.6523427963256836,1.5570824146270752,0.00009626150704988879,0.0,1.0,0.0
SEQ-01C-S42-V0904,2025-09-04,2025-10-16,226,212,289,14,0,1.75225201889752,1.7515650905316138,-0.049077738065905485,-0.04902119345640221,2.6805403232574463,1.5578864812850952,0.00008106232172622214,0.006694285199046135,0.9986202995560537,-0.0013533857037453245
SEQ-01C-S42-V0904,2025-09-04,2025-10-16,240,212,289,28,0,1.7523237301454027,1.7506356344790917,-0.0769691093061125,-0.07685346312498131,2.7083725929260254,1.5579081773757935,0.00007092953151044438,0.012772619724273682,0.9973674699749795,-0.002282841756267473
SEQ-01C-S42-V0904,2025-09-04,2025-10-16,247,212,289,35,0,1.7526172415824441,1.7501058333570365,-0.09385581428111911,-0.09373659796690026,2.7252557277679443,1.5589516162872314,0.00006586313640255549,0.016591761261224747,0.9965831429506501,-0.002812642878322613
SEQ-01C-S42-V0904,2025-09-04,2025-10-16,254,212,289,42,0,1.7529055812890284,1.7495579933217043,-0.10835953551954934,-0.10822195715879479,2.739741086959839,1.5598958730697632,0.00006586313640255549,0.02004418708384037,0.9958754200159294,-0.003360482913654872
SEQ-01C-S42-V0904,2025-09-04,2025-10-16,261,212,289,49,0,1.7532079506344618,1.7489724703360976,-0.12186990987653609,-0.12174768156980553,2.7532668113708496,1.5615044832229614,0.00006079674129466661,0.023162616416811943,0.9952407780336676,-0.003946005899261529
SEQ-01C-S42-V0904,2025-09-04,2025-10-16,268,212,289,56,0,1.753396454322816,1.748528096575069,-0.13067986683764152,-0.13052267737363854,2.7620418071746826,1.5609784126281738,0.00007092953151044438,0.02696511335670948,0.9944560513964792,-0.004390379660290211
SEQ-01C-S42-V0904,2025-09-04,2025-10-16,275,212,289,63,0,1.7537465420862104,1.7483268983216997,-0.13788961939684752,-0.13771099753355065,2.7692301273345947,1.5600976943969727,0.00006586313640255549,0.03085223026573658,0.9936515867800608,-0.004591577913659384
SEQ-01C-S42-V0904,2025-09-04,2025-10-16,282,212,289,70,0,1.7541409935174026,1.7482378145759447,-0.14390437146231905,-0.14372415251707116,2.7752432823181152,1.55901300907135,0.00006586313640255549,0.03471740707755089,0.9928499453100894,-0.004680661659414387
SEQ-01C-S42-V0904,2025-09-04,2025-10-16,289,212,289,77,0,1.7546411926724919,1.7482313735141373,-0.14997064126236703,-0.1497585267541317,2.781277656555176,1.5576473474502563,0.00007092953151044438,0.03816353157162666,0.9921325457667995,-0.0046871027212218586
