ckpt,panel,mode,n_zero_pos,rmsle,rmsle_cal,offset,mean_z,std_z,var_vs_base,corr_vs_base,d_cal
SEQ-01-S44-V0904,2025-10-16,avail как в обучении,76,1.7546351634362853,1.7499853512036145,-0.1282971984978084,2.7587459087371826,1.5699541568756104,,,
SEQ-01-S44-V0904,2025-10-16,avail ≡ 1 (режим теста),76,1.7552517803339367,1.7538578335108754,-0.07027818813061625,2.701063394546509,1.5262759923934937,0.017302343621850014,0.9967876922487533,0.003872482307260894
