ckpt,panel,mode,aug,n_zero_pos,rmsle,rmsle_cal,offset,mean_z,std_z,var_vs_base,corr_vs_base,d_cal
SEQ-D3A-G1-BASE-S43-V1016,2025-10-16,avail как в обучении,none,76,1.7462524816703806,1.7453760946124768,0.05531743030240326,2.5762016773223877,1.5572601556777954,,,
SEQ-D3A-G1-BASE-S43-V1016,2025-10-16,avail ≡ 1 (режим теста),none,76,1.7497098809567782,1.7494194369417315,-0.03195220209037443,2.6633121967315674,1.514402985572815,0.015955179929733276,0.9970066751109113,0.00404334232925474
