ckpt,panel,mode,aug,n_zero_pos,rmsle,rmsle_cal,offset,mean_z,std_z,var_vs_base,corr_vs_base,d_cal
SEQ-D3A-BASE-S42-V1016,2025-10-16,avail как в обучении,none,76,1.7500452161022517,1.7480793216714847,0.0829273389597052,2.5485918521881104,1.5411903858184814,,,
SEQ-D3A-BASE-S42-V1016,2025-10-16,avail ≡ 1 (режим теста),none,76,1.7549090619594883,1.7545877662470901,-0.0335819741533487,2.665091037750244,1.54642915725708,0.023066723719239235,0.99516660203974,0.006508444575605399
