fold,depth,full,train_max,seen_in_train,rmsle,rmsle_cal,offset,mean_z,std_z,q99,zero_share,var_vs_full,corr_vs_full,best_cal
2025-10-16,90,0,254,1,1.7895776965339583,1.7874319611800387,0.08760888130703018,2.543910026550293,1.5369048118591309,6.15625,0.0,0.15376950800418854,0.9674655350436461,1.7460419295324756
2025-10-16,120,0,254,1,1.7730479865917124,1.7711587883620148,0.08182731307408746,2.549691915512085,1.5585211515426636,6.21875,0.0,0.09676651656627655,0.9799012726856375,1.7460419295324756
2025-10-16,150,0,254,1,1.7621534409282806,1.7614653869840882,0.04923860103999,2.582280397415161,1.5607950687408447,6.21875,0.0,0.062436774373054504,0.9871037496004049,1.7460419295324756
2025-10-16,180,0,254,1,1.7548708775733195,1.7547852173725482,0.017338911319088195,2.614180326461792,1.5509073734283447,6.21875,5.066395107888884e-6,0.03985819220542908,0.9916799738560912,1.7460419295324756
2025-10-16,212,0,254,1,1.7506119936855598,1.7506097594564598,-0.0027968859754095104,2.6343157291412354,1.5491517782211304,6.25,5.066395107888884e-6,0.023718111217021942,0.9950493203248879,1.7460419295324756
2025-10-16,220,0,254,1,1.7496517732961503,1.7496455152265618,-0.004679632132014793,2.6361985206604004,1.5501631498336792,6.25,5.066395107888884e-6,0.020632140338420868,0.9957050054941915,1.7460419295324756
2025-10-16,240,0,254,1,1.7485501967320334,1.7479229468588302,0.046831211130776616,2.5846879482269287,1.552490472793579,6.21875,0.000020265580431555534,0.014002098701894283,0.9971135118904769,1.7460419295324756
2025-10-16,254,0,254,1,1.747961098201757,1.746688511074407,0.06668767582817509,2.564831495285034,1.554320216178894,6.21875,0.000020265580431555534,0.010204696096479893,0.9979234502861091,1.7460419295324756
2025-10-16,275,0,254,0,1.7479294328147807,1.7460419295324756,0.08120888137827637,2.5503101348876953,1.5504577159881592,6.1875,0.000020265580431555534,0.003920452203601599,0.9992123425669424,1.7460419295324756
2025-10-16,289,1,254,0,1.7486891318932152,1.7463723258888924,0.08998543977147826,2.5415337085723877,1.5376169681549072,6.125,0.00003546476575522219,0.0,1.0,1.7460419295324756
