fold,source,stratum,n,mean_resid,sd_resid,se
2025-09-04,hold,ВСЕ,678914,-0.031302011849527515,1.1159550325017933,0.001354376197983623
2025-09-04,hold,0,33410,-0.056085816923665245,1.1751088222268316,0.0064289470517196025
2025-09-04,hold,1,37646,-0.054567058899481165,1.160432491142649,0.005980816271294903
2025-09-04,hold,2-3,76867,-0.058075979478804725,1.1582464352226782,0.00417763993919893
2025-09-04,hold,4-7,137589,-0.05554355279074319,1.148724073766892,0.003096876350498423
2025-09-04,hold,8-15,185322,-0.04068278606549904,1.144107260918491,0.002657683453681543
2025-09-04,hold,16-30,144693,0.0005321306668704414,1.0800664576824388,0.002839400917465067
2025-09-04,hold,31+,63387,0.03542386398017218,0.9056182470002526,0.00359703832826915
2025-09-04,extra,ВСЕ,887996,-0.045501473572125375,1.1153456229565315,0.0011835972911376498
2025-09-04,extra,0,41499,-0.11981183096547982,1.1735770480757228,0.005760932563634999
2025-09-04,extra,1,44770,-0.10747694378500575,1.1552938544087406,0.005460078868216399
2025-09-04,extra,2-3,92350,-0.09449826272645188,1.1392672396953512,0.0037489285145898372
2025-09-04,extra,4-7,170353,-0.06972078694393583,1.151935987215955,0.002790958977171142
2025-09-04,extra,8-15,238889,-0.053949024470608224,1.1491259076699225,0.002351091546343859
2025-09-04,extra,16-30,201668,-0.004654933865427412,1.0916714404514078,0.002430935596476242
2025-09-04,extra,31+,98467,0.038686330556616806,0.9251382876311456,0.0029482295972055074
2025-09-18,hold,ВСЕ,559022,-0.03010774015955808,1.1151067848958476,0.0014914270254719083
2025-09-18,hold,0,26974,-0.051447228079045754,1.1765913038982487,0.007163956788979103
2025-09-18,hold,1,30491,-0.05839014293091276,1.1544468397889827,0.006611318887631766
2025-09-18,hold,2-3,62586,-0.05497429860807869,1.1546554732414656,0.004615447556643206
2025-09-18,hold,4-7,113056,-0.053312242512806904,1.1513897608120691,0.003424329562257756
2025-09-18,hold,8-15,153006,-0.03674320999490148,1.14428760315222,0.0029253710696447144
2025-09-18,hold,16-30,119967,-0.000685189301771829,1.0782196718374475,0.003112980153106991
2025-09-18,hold,31+,52942,0.028507504334797134,0.9073098200393039,0.003943260237693563
2025-09-18,extra,ВСЕ,887996,-0.038500788057217246,1.1143456979527053,0.0011825361774330636
2025-09-18,extra,0,41499,-0.11872498589030116,1.1725983299467664,0.005756128167409826
2025-09-18,extra,1,44770,-0.1012222771496551,1.1545450109468587,0.005456539730233262
2025-09-18,extra,2-3,92350,-0.0808171787843022,1.1382668908899318,0.0037456367178712946
2025-09-18,extra,4-7,170353,-0.06080493483880679,1.1514602164761478,0.0027898062598048327
2025-09-18,extra,8-15,238889,-0.04352488229459067,1.1486446135548356,0.002350106826986534
2025-09-18,extra,16-30,201668,0.002105820545942711,1.0901294121983918,0.002427501805655921
2025-09-18,extra,31+,98467,0.031125679260400316,0.9240267827137918,0.002944687454653854
2025-10-02,hold,ВСЕ,438813,-0.015564257240390306,1.1148759582725865,0.0016830104307817872
2025-10-02,hold,0,21008,-0.04312077701906078,1.1824027298336968,0.008157800292542901
2025-10-02,hold,1,23700,-0.03915891456500323,1.1523750355043407,0.007485480241742695
2025-10-02,hold,2-3,48633,-0.04573616987244038,1.1510968670514665,0.005219709600781138
2025-10-02,hold,4-7,88721,-0.036521992127763574,1.1540910975282879,0.0038746000242520454
2025-10-02,hold,8-15,120118,-0.0164170613307166,1.1440028285166524,0.0033008291960696145
2025-10-02,hold,16-30,94570,0.010345468467906318,1.0769467017053802,0.0035020110814824707
2025-10-02,hold,31+,42063,0.03476493781390853,0.9095626622942788,0.004434886423980457
2025-10-02,extra,ВСЕ,887996,-0.02117705355932991,1.11311028012013,0.0011812251603187602
2025-10-02,extra,0,41499,-0.10708485425138821,1.1715452038428587,0.005750958512400328
2025-10-02,extra,1,44770,-0.08033228180430757,1.1532707337161396,0.005450517319438686
2025-10-02,extra,2-3,92350,-0.061046670261682597,1.1379265988237954,0.003744516936150573
2025-10-02,extra,4-7,170353,-0.04124664742107804,1.1505920285406717,0.0027877027775460267
2025-10-02,extra,8-15,238889,-0.020637606026273594,1.1470939857890927,0.002346934269647751
2025-10-02,extra,16-30,201668,0.016340065566054846,1.0886595779429047,0.0024242287765372825
2025-10-02,extra,31+,98467,0.03589253882733412,0.9236144767841029,0.0029433735186063853
