variable,fold,n,pearson,spearman,positive_fold_signs,negative_fold_signs
search_gmv_share_30,2025-09-04,188518,0.00036074507563200884,0.05240413262713521,,
search_gmv_share_30,2025-09-18,191025,0.008573188481920773,0.061940558054942654,,
search_gmv_share_30,2025-10-02,193694,0.015118292348462896,0.07005868266979609,,
search_gmv_share_30,2025-10-16,197379,0.008214494998268944,0.062483491076154724,,
search_gmv_share_30,wcv_weighted,770616,0.009578305463806579,0.06369611758882217,4,0
search_gmv_share_90,2025-09-04,188518,-0.0004888078952843208,0.01779348297777133,,
search_gmv_share_90,2025-09-18,191025,-0.0005225246590054827,0.02240843378493021,,
search_gmv_share_90,2025-10-02,193694,0.005325924270503229,0.028664864738550185,,
search_gmv_share_90,2025-10-16,197379,0.001681890046288804,0.02292802002350443,,
search_gmv_share_90,wcv_weighted,770616,0.002209935411661466,0.02440817335354244,4,0
search_gmv_share_180,2025-09-04,188518,4.5020384452173926e-05,-0.009032979298457852,,
search_gmv_share_180,2025-09-18,191025,-0.0030222183404526697,-0.007966561248955095,,
search_gmv_share_180,2025-10-02,193694,0.0015597730331226866,-0.0019419726485898064,,
search_gmv_share_180,2025-10-16,197379,0.0015481803438304055,-0.003604945022624195,,
search_gmv_share_180,wcv_weighted,770616,0.0008349518694866466,-0.0035733195889492402,0,4
search_ord_share_30,2025-09-04,188518,0.00017480118141424502,0.054311340885838576,,
search_ord_share_30,2025-09-18,191025,0.008702805650348906,0.06377088087549576,,
search_ord_share_30,2025-10-02,193694,0.015052194357152082,0.072071998032439,,
search_ord_share_30,2025-10-16,197379,0.008742420790011264,0.06491052896629314,,
search_ord_share_30,wcv_weighted,770616,0.0098470737149385,0.06588400850787968,4,0
search_ord_share_90,2025-09-04,188518,-0.0012957147535290975,0.019632707076705856,,
search_ord_share_90,2025-09-18,191025,-0.0011141610687262103,0.023895676560093008,,
search_ord_share_90,2025-10-02,193694,0.005390353309638046,0.03042049983651223,,
search_ord_share_90,2025-10-16,197379,0.0011951202723534124,0.024723275411229255,,
search_ord_share_90,wcv_weighted,770616,0.0018336669727092901,0.026166467442002957,4,0
search_ord_share_180,2025-09-04,188518,-0.0006998265952320282,-0.006930803409684013,,
search_ord_share_180,2025-09-18,191025,-0.0042175972743912745,-0.006518437070288032,,
search_ord_share_180,2025-10-02,193694,0.0011921257856101852,-0.0007248184706723677,,
search_ord_share_180,2025-10-16,197379,0.0007978299628216414,-0.002486422381741533,,
search_ord_share_180,wcv_weighted,770616,0.00012639697853822826,-0.002279578966023285,0,4
search_cart_share_30,2025-09-04,188518,-0.005504749732606126,0.01740384111408876,,
