outer_fold,cell,n_donor,residual_mean,shrinkage,correction
2025-09-04,30,51756,-0.39677180416175134,0.7212776631919282,-0.2861826397262334
2025-09-04,31,43794,-0.8780478150630237,0.6864908925604288,-0.6027718282733495
2025-09-04,32,36044,-1.3580876508384025,0.6431375347940903,-0.8734371437945077
2025-09-04,33,29673,-1.8132905599289606,0.5973667787329132,-1.0831995406915638
2025-09-04,34,23217,-2.261673826067001,0.5372191498715783,-1.2150144901265143
2025-09-04,35,17344,-2.728819585893031,0.4644387317909169,-1.2673695077583742
2025-09-04,36,12121,-3.2220693359985266,0.3773543787553314,-1.2158619725923272
2025-09-04,37,7327,-3.7475799253247013,0.26812310169429504,-1.0048127534253335
2025-09-04,38,3590,-4.358351714216821,0.15218312844425605,-0.6632675987299019
2025-09-04,39,1050,-5.160320667499706,0.0498812351543943,-0.2574031686876338
2025-09-04,110,5848,3.0134027566113835,0.22624574435159395,0.6817695497006875
2025-09-04,111,12895,2.5463274816819315,0.3920048639610883,0.998172758057106
2025-09-04,112,19663,2.1292875608010706,0.49575170814108865,1.055597945390703
2025-09-04,113,25130,1.7481919431267365,0.5568358076667406,0.9734558726074648
2025-09-04,114,30811,1.404518022970643,0.6063844443132392,0.8516778808869829
2025-09-04,115,35600,1.0919560596151074,0.6402877697841727,0.6991661101132702
2025-09-04,116,39620,0.7835205268159342,0.6645420999664542,0.5206823762570835
2025-09-04,117,43191,0.5002436175698782,0.6834992324856388,0.34191612866485116
2025-09-04,118,44734,0.24151656288814324,0.6910433466184694,0.16689841388201254
2025-09-04,119,42431,0.04242718397992829,0.6796463295478208,0.028835479865008368
2025-09-04,120,308,2.7260035848764677,0.015166436872168603,0.04134376128333425
2025-09-04,121,768,2.349155295613766,0.03697996918335902,0.0868716904387217
2025-09-04,122,1045,1.8750442514315018,0.049655500118793064,0.09310626004969919
2025-09-04,123,1261,1.5404907232944787,0.05931047457786558,0.09136723588139493
2025-09-04,124,1275,1.0353457609731396,0.05992949471210341,0.06204774830743844
2025-09-04,125,1193,0.6405428866764087,0.05629217194356627,0.03605755031401668
2025-09-04,126,979,0.26847765293583625,0.046665713332379996,0.012528701188053944
2025-09-04,127,813,-0.052114683741043374,0.039062124633642434,-0.0020357102715354955
2025-09-04,128,476,-0.39088157310180327,0.023246727876538385,-0.009086717561850867
2025-09-04,129,225,-0.7471321050410001,0.011124845488257108,-0.008311729227897406
2025-09-04,182,1,0.7350627167738681,4.999750012499375e-05,3.675129827377972e-05
2025-09-04,183,7,1.0498593555571774,0.000349877542859999,0.00036732221167092726
2025-09-04,184,3,2.6534705406918815,0.00014997750337449384,0.00039796088697073665
2025-09-04,185,1,1.374110927807378,4.999750012499375e-05,6.870211128480466e-05
2025-09-04,186,2,0.565311812043038,9.999000099990002e-05,5.652552865143866e-05
2025-09-04,187,5,-0.5728235619490121,0.00024993751562109475,-0.00014317009796276233
2025-09-04,188,2,-0.9984586009896204,9.999000099990002e-05,-9.98358765113109e-05
2025-09-04,189,3,-0.2370110522669271,0.00014997750337449384,-3.554632589115539e-05
2025-09-04,190,10,4.2243298725537155,0.0004997501249375312,0.0021111093815860647
2025-09-04,191,30,3.889333891329751,0.0014977533699450823,0.005825262942580756
2025-09-04,192,49,3.634577052368721,0.0024440121701830514,0.008882950549457196
2025-09-04,193,45,3.036116438374827,0.0022449488650536295,0.0068159261525002355
2025-09-04,194,86,2.91133724888451,0.00428158916658369,0.012465150025095482
2025-09-04,195,96,2.137234129717338,0.004777070063694267,0.010209717180178365
2025-09-04,196,113,1.7679044166805402,0.005618256848804256,0.009932541097046738
2025-09-04,197,102,1.5596947995177926,0.005074121977912646,0.00791408166106929
2025-09-04,198,102,1.0160965092817342,0.005074121977912646,0.005155797629426768
2025-09-04,199,58,0.6420640088972993,0.0028916143184764182,0.0018566014815058012
2025-09-04,200,99,3.857417375699576,0.0049256181899596995,0.01900016519201244
2025-09-04,201,250,3.252613815978214,0.012345679012345678,0.04015572612318783
2025-09-04,202,485,2.810633062917993,0.023675860385648034,0.06654415599293272
2025-09-04,203,681,2.391622438422656,0.0329287752042938,0.07875319764836462
2025-09-04,204,896,2.051213240166575,0.042879019908116385,0.08795401336089448
2025-09-04,205,1125,1.6807938966764258,0.05325443786982249,0.08950973414253155
2025-09-04,206,1460,1.3759181246204042,0.06803355079217148,0.0936085956172316
2025-09-04,207,1546,0.9853393109534148,0.07175345771837,0.07070150258674368
2025-09-04,208,1780,0.6876953345852146,0.08172635445362718,0.05620283267041699
2025-09-04,209,1753,0.40898927807011176,0.08058658575828621,0.03295904953141663
2025-09-04,210,168,4.161424253622933,0.008330027766759222,0.0346647795819443
2025-09-04,211,410,3.4202355744296553,0.020088192062714356,0.06870634911887108
2025-09-04,212,798,2.9792868356173416,0.038369073949418214,0.11431247691232996
