variable,fold,bin,n,residual_mean,residual_std
search_cart_share_30,2025-10-02,3,43278,-0.007940134002515522,1.6778163234876855
search_cart_share_30,2025-10-02,4,24005,0.016836994883812698,1.7002197692485168
search_cart_share_30,2025-10-02,5,120180,-0.0015074485118481175,1.7773547203623992
search_cart_share_30,2025-10-16,0,3252,0.05115084334602943,1.8344637053654522
search_cart_share_30,2025-10-16,1,618,0.03489536531427455,1.8667657385674665
search_cart_share_30,2025-10-16,2,2531,0.014120320711358146,1.8839303286502802
search_cart_share_30,2025-10-16,3,43070,-0.007165505690653945,1.6654712820590458
search_cart_share_30,2025-10-16,4,24992,0.019182231953646676,1.6923010849704314
search_cart_share_30,2025-10-16,5,122916,-0.0032089428628904494,1.7705406663729994
search_cart_share_30,wcv_weighted,0,12849,0.038088990152254004,1.8332484808299934
search_cart_share_30,wcv_weighted,1,2359,0.00893587320272004,1.852322835495536
search_cart_share_30,wcv_weighted,2,9344,0.017004131698317014,1.8799839332189736
search_cart_share_30,wcv_weighted,3,170339,-0.003985089978593044,1.6738932247648532
search_cart_share_30,wcv_weighted,4,96124,0.011185820447165932,1.699348662735688
search_cart_share_30,wcv_weighted,5,479601,-0.002249120329677845,1.7767227060875865
search_cart_share_90,2025-09-04,0,1721,0.02209385535175113,1.6223472619746009
search_cart_share_90,2025-09-04,1,644,0.14638672098535585,1.8672966175752748
search_cart_share_90,2025-09-04,2,2526,-0.03570065417423984,1.8546657748866762
search_cart_share_90,2025-09-04,3,19647,0.01319974020720466,1.6194744602277662
search_cart_share_90,2025-09-04,4,43066,-0.02127655918968188,1.819512407037546
search_cart_share_90,2025-09-04,5,120914,0.005085422191202867,1.7702499128201667
search_cart_share_90,2025-09-18,0,1705,0.09664379453863263,1.6171165282779358
search_cart_share_90,2025-09-18,1,683,0.13782353758229443,1.9008058160627128
search_cart_share_90,2025-09-18,2,2554,-0.00023144155493725485,1.8394989484557411
search_cart_share_90,2025-09-18,3,19986,0.0074087167030107036,1.6466972390330428
search_cart_share_90,2025-09-18,4,43794,-0.015439159428964375,1.7895641835366192
search_cart_share_90,2025-09-18,5,122303,0.002205603230337069,1.767325176096045
search_cart_share_90,2025-10-02,0,1680,0.039296945810315245,1.6400094859064307
search_cart_share_90,2025-10-02,1,685,0.10185848375160976,1.8252261759457604
search_cart_share_90,2025-10-02,2,2490,0.029424588370859435,1.855561534804273
search_cart_share_90,2025-10-02,3,20340,0.014351312839441488,1.628841403286072
search_cart_share_90,2025-10-02,4,44474,-0.007370167746967609,1.7849558293174004
search_cart_share_90,2025-10-02,5,124025,-0.0013963637827069857,1.7531716309792207
search_cart_share_90,2025-10-16,0,1677,0.05394079417505713,1.7047065955146266
search_cart_share_90,2025-10-16,1,714,0.10338488653547172,1.928496065361099
search_cart_share_90,2025-10-16,2,2630,-0.008853257298257878,1.8000168696134884
search_cart_share_90,2025-10-16,3,20476,0.0037298145479733994,1.6295215733480442
search_cart_share_90,2025-10-16,4,45396,0.005288694904713553,1.7792512322339558
search_cart_share_90,2025-10-16,5,126486,-0.003616595755278626,1.7430996870926942
search_cart_share_90,wcv_weighted,0,6783,0.053659317215386346,1.6700713093836113
search_cart_share_90,wcv_weighted,1,2726,0.11031048294790322,1.8942531048798772
search_cart_share_90,wcv_weighted,2,10200,0.0004277909965244204,1.8237323977953563
search_cart_share_90,wcv_weighted,3,80449,0.0077071286344395935,1.6309882871036498
search_cart_share_90,wcv_weighted,4,176730,-0.002605748725149243,1.7848653957932157
search_cart_share_90,wcv_weighted,5,493728,-0.0016682369546945877,1.7508533472153187
search_cart_share_180,2025-09-04,0,1049,-0.014421579895037909,1.453552110014431
search_cart_share_180,2025-09-04,1,649,0.009071705368337383,1.7926607145252538
search_cart_share_180,2025-09-04,2,2422,0.03778007622554413,1.8079334505048184
search_cart_share_180,2025-09-04,3,15012,0.009906769869774741,1.6734690794498261
search_cart_share_180,2025-09-04,4,55141,-0.008005930849056167,1.8197308814887183
search_cart_share_180,2025-09-04,5,114245,0.0018427626339563258,1.7544729197230424
search_cart_share_180,2025-09-18,0,1051,0.06047001670914353,1.4971020490216809
search_cart_share_180,2025-09-18,1,657,0.0912450056453678,1.8592239227345742
search_cart_share_180,2025-09-18,2,2443,0.11716357169822594,1.8385927777687618
search_cart_share_180,2025-09-18,3,15033,0.009472597417827936,1.673705641014699
search_cart_share_180,2025-09-18,4,55156,-0.0032013326903051103,1.8036984856450018
search_cart_share_180,2025-09-18,5,116685,-0.003218592047348286,1.7505643569147404
search_cart_share_180,2025-10-02,0,1055,0.04593851790197706,1.5499979558796941
search_cart_share_180,2025-10-02,1,657,0.1130417874117396,1.8230921920047114
search_cart_share_180,2025-10-02,2,2408,0.048681757524211354,1.8137960992638362
search_cart_share_180,2025-10-02,3,15140,0.01934883282826458,1.653561784795784
search_cart_share_180,2025-10-02,4,55463,0.003374481565127263,1.7962559116360395
search_cart_share_180,2025-10-02,5,118971,-0.006052394809667799,1.7376917833615737
search_cart_share_180,2025-10-16,0,1051,0.044084430494642515,1.5562180422116538
search_cart_share_180,2025-10-16,1,661,0.0879881339322912,1.8413344551590782
search_cart_share_180,2025-10-16,2,2536,0.03944334047255228,1.805860113216122
search_cart_share_180,2025-10-16,3,15322,0.01823305522018393,1.6550198455499998
search_cart_share_180,2025-10-16,4,56588,0.012179704685440928,1.7898246038130912
search_cart_share_180,2025-10-16,5,121221,-0.009677475068188753,1.728382302692328
search_cart_share_180,wcv_weighted,0,4206,0.042789173018685504,1.5398413050015594
search_cart_share_180,wcv_weighted,1,2624,0.08977669656567545,1.8358038991102712
search_cart_share_180,wcv_weighted,2,9809,0.05214862494313462,1.812668289920517
search_cart_share_180,wcv_weighted,3,60507,0.016786901622106304,1.658419416249921
search_cart_share_180,wcv_weighted,4,222348,0.006407573525598723,1.795454998175651
search_cart_share_180,wcv_weighted,5,471122,-0.00709223790395629,1.7355612075103677
share_trend_30_minus_180,2025-09-04,0,2078,-0.0033729487302882315,1.970817708430357
share_trend_30_minus_180,2025-09-04,1,45756,-0.002253863649300293,1.8984646688131117
share_trend_30_minus_180,2025-09-04,2,7241,-0.0007787797938467312,1.724758860660933
share_trend_30_minus_180,2025-09-04,3,112275,-0.003043201899511501,1.7062158429196894
share_trend_30_minus_180,2025-09-04,4,14512,0.04948892215604661,1.7403133611446755
share_trend_30_minus_180,2025-09-04,5,4071,-0.0272026803180726,1.8688114144013104
share_trend_30_minus_180,2025-09-04,6,2585,-0.05800203437285775,1.8592007569041777
share_trend_30_minus_180,2025-09-18,0,2143,-0.02777926189524839,1.9364768599014672
share_trend_30_minus_180,2025-09-18,1,47332,-0.03378428778941489,1.8962506891071624
share_trend_30_minus_180,2025-09-18,2,7089,0.01898409979675628,1.7034739515030979
share_trend_30_minus_180,2025-09-18,3,113213,0.006363030521238246,1.6995141899291157
share_trend_30_minus_180,2025-09-18,4,14623,0.05527985936171164,1.7098210343674674
share_trend_30_minus_180,2025-09-18,5,4075,0.013468371280870625,1.886670895731608
share_trend_30_minus_180,2025-09-18,6,2550,-0.023367916229771916,1.8678165175684105
share_trend_30_minus_180,2025-10-02,0,2331,0.009300581557338289,1.916637807881054
