variable,segment,n,pearson,spearman,residual_mean
search_gmv_share_30,all,770616,0.008104880357165284,0.06178508000325089,7.066755164769495e-08
search_gmv_share_30,rec_buy_15_60,223152,0.004473233632355465,0.007574627276008259,-0.026619940663462134
search_gmv_share_30,w180_days_buy_2_15,438482,0.004779619577003285,0.007618623558618449,-0.008160543444188845
search_gmv_share_30,intersection,181406,0.0027352612082692457,-0.0016076387673536916,-0.02745787896165491
search_gmv_share_30,w180_days_buy_0_1,168236,-0.004747478163228281,-0.10835709380254557,-0.019320627146450445
search_gmv_share_30,w180_days_buy_ge16,163898,0.0052045041793725945,0.007029227636247726,0.041664516325098724
search_gmv_share_30,actual_total_y_0,301289,-0.5581519853221509,-0.5685481772576223,-1.543102130311063
search_gmv_share_30,gmv_low_0_100,274901,-0.36496074965025477,-0.3611092937540856,0.590669242416516
search_gmv_share_30,gmv_medium_100_1000,182253,-0.35451623123004466,-0.22165774088032653,1.50881080997864
search_gmv_share_30,gmv_high_gt1000,12173,-0.2952281305194051,-0.024663637502062827,2.2639357788758794
search_gmv_share_90,all,770616,0.0015077324414466422,0.02298115118751337,7.066755164769495e-08
search_gmv_share_90,rec_buy_15_60,223152,7.430544282120413e-05,-0.003426965216344569,-0.026619940663462134
search_gmv_share_90,w180_days_buy_2_15,438482,-0.001660654505163803,-0.004200358382407894,-0.008160543444188845
search_gmv_share_90,intersection,181406,-0.0011296010132891864,0.000127065572529842,-0.02745787896165491
search_gmv_share_90,w180_days_buy_0_1,168236,-0.005838753480902452,-0.18638573579194012,-0.019320627146450445
search_gmv_share_90,w180_days_buy_ge16,163898,-0.0026254642822168043,0.01060420994878477,0.041664516325098724
search_gmv_share_90,actual_total_y_0,301289,-0.5477854624817899,-0.6116598313210836,-1.543102130311063
search_gmv_share_90,gmv_low_0_100,274901,-0.24320024482074043,-0.10415485135781626,0.590669242416516
search_gmv_share_90,gmv_medium_100_1000,182253,-0.18464036563216757,0.07826736414102518,1.50881080997864
search_gmv_share_90,gmv_high_gt1000,12173,-0.1520267679945344,0.1641372675571302,2.2639357788758794
search_gmv_share_180,all,770616,4.2393475585982677e-05,-0.005591963563657101,7.066755164769495e-08
search_gmv_share_180,rec_buy_15_60,223152,-2.4239162054675007e-05,-0.00566624367411508,-0.026619940663462134
search_gmv_share_180,w180_days_buy_2_15,438482,-0.003816205157448281,-0.007768712407851784,-0.008160543444188845
search_gmv_share_180,intersection,181406,-0.0009524020454580772,-0.0009313461770354652,-0.02745787896165491
search_gmv_share_180,w180_days_buy_0_1,168236,-0.0020876373713308548,-0.24960460716390653,-0.019320627146450445
search_gmv_share_180,w180_days_buy_ge16,163898,-0.005947384330142361,-0.00016518929342808716,0.041664516325098724
search_gmv_share_180,actual_total_y_0,301289,-0.48900051853433035,-0.5244238456457301,-1.543102130311063
search_gmv_share_180,gmv_low_0_100,274901,-0.1647707980136154,0.034771799769099554,0.590669242416516
search_gmv_share_180,gmv_medium_100_1000,182253,-0.11838805869577795,0.14515538881645595,1.50881080997864
search_gmv_share_180,gmv_high_gt1000,12173,-0.10840109179204971,0.17673170621015288,2.2639357788758794
search_ord_share_30,all,770616,0.008210188932867936,0.06383350660106905,7.066755164769495e-08
search_ord_share_30,rec_buy_15_60,223152,0.004567069179548894,0.0077700086471244306,-0.026619940663462134
search_ord_share_30,w180_days_buy_2_15,438482,0.004526483332451113,0.007638049704792916,-0.008160543444188845
search_ord_share_30,intersection,181406,0.00261714464456812,-0.0017150405106234469,-0.02745787896165491
search_ord_share_30,w180_days_buy_0_1,168236,-0.004734100188226125,-0.1084953818834057,-0.019320627146450445
