half,n,selected_alpha,baseline_fixed_fold_cal,candidate_fixed_fold_cal,delta,corr_d_residual,spearman_d_residual
recipient_A,98707,0.0,1.733550904639614,1.733550904639614,0.0,-0.0027266147252793596,-0.0032833511596174363
recipient_B,98672,0.0,1.7489748076407885,1.7489748076407885,0.0,-0.0034575592452812743,9.32836544295965e-05
