cutoff,source,feature,pearson_residual,mean,std
2025-09-04,REAL,pd_w30_present_rel,-0.011005482102247884,10.697280883789062,6.98938512802124
2025-09-04,PLACEBO,pd_w30_present_rel,-0.011054279908259385,10.776925086975098,7.036571502685547
2025-09-04,REAL,pd_w30_searches_rel,0.001337025422768178,36.073604583740234,52.64577102661133
2025-09-04,PLACEBO,pd_w30_searches_rel,0.0012619980180517518,36.21162414550781,52.85239028930664
2025-09-04,REAL,pd_w30_carts_rel,-0.0024222379603743897,11.755712509155273,20.992177963256836
2025-09-04,PLACEBO,pd_w30_carts_rel,-0.0024939726356073386,11.830039978027344,21.138872146606445
2025-09-04,REAL,pd_w30_orders_rel,0.013746316120823488,3.173647165298462,6.303021430969238
2025-09-04,PLACEBO,pd_w30_orders_rel,0.013629779603779806,3.2056798934936523,6.365166664123535
2025-09-04,REAL,pd_w30_gmv_rel,0.014686056005489983,109.16670989990234,296.03973388671875
2025-09-04,PLACEBO,pd_w30_gmv_rel,0.014583024709894202,109.93863677978516,298.611328125
2025-09-04,REAL,pd_w90_present_rel,-0.008032231803871482,32.09184265136719,19.573259353637695
2025-09-04,PLACEBO,pd_w90_present_rel,-0.008026863964956884,32.139747619628906,19.587610244750977
2025-09-04,REAL,pd_w90_searches_rel,0.002791113333141035,103.82210540771484,140.38917541503906
2025-09-04,PLACEBO,pd_w90_searches_rel,0.002765275691836595,103.91041564941406,140.47802734375
2025-09-04,REAL,pd_w90_carts_rel,-0.0007847658031032049,33.83368682861328,55.668087005615234
2025-09-04,PLACEBO,pd_w90_carts_rel,-0.0008344219854474153,33.882259368896484,55.765769958496094
2025-09-04,REAL,pd_w90_orders_rel,0.015716964005631964,9.133957862854004,16.801740646362305
2025-09-04,PLACEBO,pd_w90_orders_rel,0.015657790329568242,9.143599510192871,16.812971115112305
2025-09-04,REAL,pd_w90_gmv_rel,0.01700259562007841,314.1886901855469,686.9871215820312
2025-09-04,PLACEBO,pd_w90_gmv_rel,0.016993426105027524,314.7517395019531,689.07177734375
2025-09-18,REAL,pd_w30_present_rel,-0.006949204508489668,10.812406539916992,7.015016078948975
2025-09-18,PLACEBO,pd_w30_present_rel,-0.006985455000175575,10.780193328857422,6.987860679626465
2025-09-18,REAL,pd_w30_searches_rel,-0.0002995823859401661,36.55208969116211,53.430660247802734
2025-09-18,PLACEBO,pd_w30_searches_rel,-0.00029150086567399157,36.42127990722656,53.230690002441406
2025-09-18,REAL,pd_w30_carts_rel,0.0001510789336975947,11.878344535827637,21.340465545654297
2025-09-18,PLACEBO,pd_w30_carts_rel,0.00010467899354756772,11.805682182312012,21.210628509521484
2025-09-18,REAL,pd_w30_orders_rel,0.016037277892782104,3.218451738357544,6.469949245452881
2025-09-18,PLACEBO,pd_w30_orders_rel,0.01597026151794031,3.2074592113494873,6.446237087249756
2025-09-18,REAL,pd_w30_gmv_rel,0.015014067542386617,110.52427673339844,307.8252868652344
2025-09-18,PLACEBO,pd_w30_gmv_rel,0.014942791710324019,110.47653198242188,308.0628967285156
2025-09-18,REAL,pd_w90_present_rel,-0.008346065334423754,32.43722152709961,19.71457862854004
2025-09-18,PLACEBO,pd_w90_present_rel,-0.008320946990640203,32.48703384399414,19.731515884399414
2025-09-18,REAL,pd_w90_searches_rel,-0.0026982040817669943,105.0604476928711,142.13565063476562
2025-09-18,PLACEBO,pd_w90_searches_rel,-0.00271778856916744,105.14813995361328,142.1995391845703
2025-09-18,REAL,pd_w90_carts_rel,-0.0026245615971403377,34.14152526855469,56.40674591064453
2025-09-18,PLACEBO,pd_w90_carts_rel,-0.0026832500091641957,34.179203033447266,56.47067642211914
2025-09-18,REAL,pd_w90_orders_rel,0.013024796338342718,9.250686645507812,16.909534454345703
2025-09-18,PLACEBO,pd_w90_orders_rel,0.012993010416587082,9.26239013671875,16.927427291870117
2025-09-18,REAL,pd_w90_gmv_rel,0.014408143272916792,317.6762390136719,697.6461791992188
2025-09-18,PLACEBO,pd_w90_gmv_rel,0.014378703784152515,318.16241455078125,699.492919921875
2025-10-02,REAL,pd_w30_present_rel,0.002321164442278571,11.022902488708496,7.111735820770264
2025-10-02,PLACEBO,pd_w30_present_rel,0.002301551667901787,11.026960372924805,7.108646392822266
2025-10-02,REAL,pd_w30_searches_rel,0.005297773593799004,37.06316375732422,54.032894134521484
2025-10-02,PLACEBO,pd_w30_searches_rel,0.005287736201345029,36.91367721557617,53.81397247314453
2025-10-02,REAL,pd_w30_carts_rel,0.005107943219661843,11.961026191711426,21.859285354614258
2025-10-02,PLACEBO,pd_w30_carts_rel,0.005073008624941118,11.878952980041504,21.72568702697754
2025-10-02,REAL,pd_w30_orders_rel,0.012951575843628604,3.262454032897949,6.643872261047363
2025-10-02,PLACEBO,pd_w30_orders_rel,0.012997178808371132,3.2214620113372803,6.558021068572998
2025-10-02,REAL,pd_w30_gmv_rel,0.009847454987516765,111.25820922851562,314.00335693359375
2025-10-02,PLACEBO,pd_w30_gmv_rel,0.009660698402330555,110.85900115966797,312.98876953125
2025-10-02,REAL,pd_w90_present_rel,-0.003621360320993569,33.06870651245117,19.962032318115234
2025-10-02,PLACEBO,pd_w90_present_rel,-0.003598004558776478,33.10813522338867,19.972843170166016
2025-10-02,REAL,pd_w90_searches_rel,-0.0014229193490706083,106.683837890625,143.31768798828125
2025-10-02,PLACEBO,pd_w90_searches_rel,-0.0014368835788670245,106.74530029296875,143.36273193359375
2025-10-02,REAL,pd_w90_carts_rel,-0.0007621729969346625,34.42901611328125,56.512420654296875
2025-10-02,PLACEBO,pd_w90_carts_rel,-0.0008200231407028085,34.46513748168945,56.57722473144531
2025-10-02,REAL,pd_w90_orders_rel,0.006947286855444275,9.390755653381348,17.0451717376709
2025-10-02,PLACEBO,pd_w90_orders_rel,0.006892492084867962,9.401796340942383,17.062103271484375
2025-10-02,REAL,pd_w90_gmv_rel,0.008475411935423513,320.2492980957031,698.0927124023438
