exp,fold,n,offset,rmsle,rmsle_cal,d_rmsle_cal,auc,d_auc,var_vs_base,var_vs_distmix,corr_pred,corr_pred_distmix,corr_resid,corr_resid_distmix,mean_z,std_z
ETX-01-S42,2025-10-16,197379,-0.007231012166728556,1.743079069479996,1.7430640708024172,-0.003308466178543412,0.8435967292175275,0.0006504416435900717,0.03286097713393315,0.02373036387773127,0.9935180442438918,0.9954349409076398,0.9946042036954637,0.9960949204511633,2.6387501418986443,1.5757142596783544
SEQ-D3A-S42,2025-10-16,197379,0.08998456149421331,1.7486892975107449,1.7463725369809606,0.0,0.8429462875739374,0.0,0.0,0.03253723207515173,1.0,0.9931092096875683,1.0,0.994657522118626,2.541534568237702,1.5376165100094918
SEQ-D3A-AVG3,2025-10-16,197379,0.058203222436606555,1.744244968247745,1.7432736142543925,-0.0030989227265680874,0.8435675021764057,0.000621214602468334,0.008122020366469166,0.025466310145081758,0.998405185679989,0.9948036776545912,0.9986676515433415,0.9958097583297746,2.573315907295309,1.5593904782836616
SEQ-AVG3,2025-10-16,197379,0.017331300526512865,1.7438097008587345,1.743723572941276,-0.0026489640396847314,0.84342655609276,0.0004802685188225464,0.015625583656784788,0.026961027271581804,0.9969710792396574,0.9946473664820952,0.9974355357591501,0.9955650150369109,2.614187829205403,1.5693588401491334
SEQ-01-S42,2025-10-16,197379,0.042736009633455044,1.747565709686317,1.747043085659896,0.0006705486789353454,0.8426903524300372,-0.00025593514390021,0.02251668309074743,0.03637626481262432,0.9954503785258301,0.9925824798016553,0.9963100095821062,0.9940300450559234,2.588783120098461,1.5630647924851773
SEQ-D3A-BASE-S42,2025-10-16,197379,0.08292672043414259,1.7500456236602866,1.7480797590300503,0.001707222049089685,0.8424762537908504,-0.000470033783086965,0.023767799766870563,0.040707166360825914,0.9949878827637378,0.9914050517372296,0.9961076885213297,0.9933244409154786,2.548592409297773,1.5411903626467247
S1-DIST-MIX,2025-10-16,197379,-0.05550433755496031,1.7440186529609687,1.7431352014081916,-0.0032373355727690623,0.8441911319140495,0.0012448443401120723,0.03253723207515173,0.0,0.9931092096875683,1.0,0.9946575221186261,0.9999999999999999,2.687023467286876,1.5351569736630732
SEQ-01-MIX,2025-10-16,197379,-0.026822406601534173,1.7424242582132814,1.742217797554085,-0.00415473942687572,0.8442170031462658,0.0012707155723283847,0.02198669028848317,0.003365852356543951,0.9953664176452792,0.9992982331192393,0.9963896490236974,0.9994459831953545,2.6583415363334497,1.541779991097856
SEQAVG3-CLIP-MIX,2025-10-16,197379,-0.02526494278768543,1.741888291081532,1.741705055763712,-0.004667481217248692,0.8442316892864058,0.0012854017124683814,0.01839872301621368,0.00572379047311237,0.9961733649634076,0.9988445732609234,0.9969791327550436,0.9990576921062359,2.6567840725196015,1.5501442470523668
