config,wcv,fold_0904,fold_0918,fold_1002,fold_1016
S1-DIST-MIX (база),1.7494835973237886,1.7691335679979736,1.762566098123157,1.7507266460832276,1.743135201409954
S1-SEEDAVG3,1.7494653215860454,1.7690725591833785,1.7625358049031221,1.7506819847354027,1.743138464482431
PT-OD-AVG3,1.7494757525964986,1.7690947368122278,1.762544873428454,1.7506804352614493,1.7431537580290684
PT-FULL-AVG3,1.749450626269653,1.769044054152179,1.762522868264311,1.7506475578577834,1.7431349214916074
PT-SHUF-AVG3,1.7494602235331893,1.7690749397102774,1.7625322767857576,1.7506683736742994,1.7431362956273562
