exp,var_vs_base,corr_resid_base,var_vs_mix,corr_resid_mix
S1-SEEDAVG3,0.0,0.9999999999999999,0.005210997377829289,0.9991561177483537
PT-OD-AVG3,0.0024956976994872093,0.9995960228253278,0.005714323843200815,0.9990746918773142
PT-FULL-AVG3,0.002698655705899,0.9995631277153167,0.005909298585690744,0.9990429683575132
PT-SHUF-AVG3,0.0022997213527560234,0.9996277141092029,0.005572798520060751,0.999097494520692
