segment,base_rmsle,new_rmsle,delta,n_20250904,n_20250918,n_20251002,n_20251016
rec_buy 15-60,1.946427297592163,1.9466303779805045,0.00020308038834149222,53224,57084,56699,56145
w180_days_buy 2-15,1.9495545546213786,1.9499382613362697,0.00038370671489116324,107913,108979,110149,111441
intersection,1.9869433403015138,1.98727522459381,0.00033188429229626945,43302,46309,46128,45667
w180_days_buy 0-1,1.475165319442749,1.4754445242440295,0.0002792048012805489,41580,41940,42018,42698
w180_days_buy 16+,1.4050293445587159,1.404712846737751,-0.0003164978209646415,39025,40106,41527,43240
never purchased,1.1963394085566201,1.1965031157406802,0.0001637071840600838,20965,20572,20357,20384
