alpha,rmsle_20250904,delta_20250904,rmsle_20250918,delta_20250918,rmsle_20251002,delta_20251002,rmsle_20251016,delta_20251016,delta_wcv_insample
0.25,1.7675740782809428,0.0006907216092593149,1.7607890158277841,0.000279439107535584,1.7487902815248475,0.00016105733486426743,1.7414911127121009,0.00021254650799718,0.00023961341518433283
0.5,1.769332251472302,0.002448894800618495,1.7621762839973263,0.0016667072770777391,1.750180240962382,0.0015510167723986612,1.7427773278714906,0.0014987616673869386,0.0015984313188976086
0.75,1.7721541043621654,0.005270747690481858,1.764668734722345,0.004159158002096541,1.752796167829459,0.004166943639475784,1.7451347506449828,0.0038561844408790957,0.004073754251974056
1.0,1.776032744497276,0.009149387825592603,1.7682609449096771,0.007751368189428565,1.7566325065610657,0.008003282371082499,1.7485584459677708,0.007279879763667063,0.007660286119874416
1.25,1.7809546065908615,0.014071249919177964,1.7729453815445086,0.0124358048242601,1.7616808481041455,0.013051623914162258,1.7530409272223828,0.0117623610182791,0.012349882891372
