blend,fold,segment,n,base_rmsle,rmsle,delta_rmsle
RIDGE15_MAIN,2025-09-04,rec_buy 15-60,53224,1.9684445253420007,1.968698755477686,0.0002542301356853738
RIDGE15_MAIN,2025-09-04,w180_days_buy 0-1,41580,1.4856550543048848,1.4857250827696484,7.002846476367175e-05
RIDGE15_MAIN,2025-09-04,w180_days_buy 2-15,107913,1.9674622529693149,1.9676445078142961,0.00018225484498124445
RIDGE15_MAIN,2025-09-04,w180_days_buy >=16,39025,1.4231051916108508,1.4235259251469208,0.00042073353606997266
RIDGE15_MAIN,2025-09-04,never purchased,20965,1.212861206351384,1.2134535519506229,0.0005923455992389304
RIDGE15_MAIN,2025-09-18,rec_buy 15-60,57084,1.953322923204652,1.9538680765972547,0.0005451533926026375
RIDGE15_MAIN,2025-09-18,w180_days_buy 0-1,41940,1.5060984823056474,1.5062887819041626,0.00019029959851524225
RIDGE15_MAIN,2025-09-18,w180_days_buy 2-15,108979,1.9603873138682641,1.9607824514455248,0.00039513757726061804
RIDGE15_MAIN,2025-09-18,w180_days_buy >=16,40106,1.395548449869558,1.3966123168923952,0.0010638670228371172
RIDGE15_MAIN,2025-09-18,never purchased,20572,1.2258947646092082,1.2269913501715801,0.00109658556237191
RIDGE15_MAIN,2025-10-02,rec_buy 15-60,56699,1.9491611581299118,1.9495128592961108,0.0003517011661990921
RIDGE15_MAIN,2025-10-02,w180_days_buy 0-1,42018,1.478143726405781,1.4785775207450658,0.0004337943392846988
RIDGE15_MAIN,2025-10-02,w180_days_buy 2-15,110149,1.948058314491455,1.9482271132466498,0.00016879875519482113
RIDGE15_MAIN,2025-10-02,w180_days_buy >=16,41527,1.4090239994502842,1.4095401739794131,0.0005161745291288877
RIDGE15_MAIN,2025-10-02,never purchased,20357,1.2071380565953669,1.2086206384281732,0.0014825818328063622
RIDGE15_MAIN,2025-10-16,rec_buy 15-60,56145,1.9405843349902085,1.9405223571817132,-6.19778084953726e-05
RIDGE15_MAIN,2025-10-16,w180_days_buy 0-1,42698,1.4646315943520065,1.4653673225264838,0.0007357281744773125
RIDGE15_MAIN,2025-10-16,w180_days_buy 2-15,111441,1.9453560683692304,1.9454399715675577,8.390319832729531e-05
RIDGE15_MAIN,2025-10-16,w180_days_buy >=16,43240,1.4031426275935308,1.4034590907713314,0.0003164631778005411
RIDGE15_MAIN,2025-10-16,never purchased,20384,1.181486024400946,1.1832119978404763,0.0017259734395302928
RIDGE15_CONTROL,2025-09-04,rec_buy 15-60,53224,1.9684445253420007,1.9686014310617057,0.0001569057197050583
RIDGE15_CONTROL,2025-09-04,w180_days_buy 0-1,41580,1.4856550543048848,1.4856278594710328,-2.7194833851940103e-05
RIDGE15_CONTROL,2025-09-04,w180_days_buy 2-15,107913,1.9674622529693149,1.967610539119199,0.0001482861498840471
RIDGE15_CONTROL,2025-09-04,w180_days_buy >=16,39025,1.4231051916108508,1.423560688401915,0.0004554967910641583
RIDGE15_CONTROL,2025-09-04,never purchased,20965,1.212861206351384,1.2134311953305272,0.0005699889791432877
RIDGE15_CONTROL,2025-09-18,rec_buy 15-60,57084,1.953322923204652,1.9537013756955137,0.0003784524908616582
RIDGE15_CONTROL,2025-09-18,w180_days_buy 0-1,41940,1.5060984823056474,1.5062329990261454,0.00013451672049802355
RIDGE15_CONTROL,2025-09-18,w180_days_buy 2-15,108979,1.9603873138682641,1.9606708932017343,0.00028357933347011866
RIDGE15_CONTROL,2025-09-18,w180_days_buy >=16,40106,1.395548449869558,1.3965027917813655,0.0009543419118074326
RIDGE15_CONTROL,2025-09-18,never purchased,20572,1.2258947646092082,1.2269163185105745,0.0010215539013662678
RIDGE15_CONTROL,2025-10-02,rec_buy 15-60,56699,1.9491611581299118,1.949448498754696,0.00028734062478430467
RIDGE15_CONTROL,2025-10-02,w180_days_buy 0-1,42018,1.478143726405781,1.4784272370357527,0.00028351062997167276
RIDGE15_CONTROL,2025-10-02,w180_days_buy 2-15,110149,1.948058314491455,1.948182470241257,0.00012415574980195743
RIDGE15_CONTROL,2025-10-02,w180_days_buy >=16,41527,1.4090239994502842,1.409385356573713,0.0003613571234288848
RIDGE15_CONTROL,2025-10-02,never purchased,20357,1.2071380565953669,1.2084336270263398,0.0012955704309729477
RIDGE15_CONTROL,2025-10-16,rec_buy 15-60,56145,1.9405843349902085,1.940527243463469,-5.709152673949447e-05
RIDGE15_CONTROL,2025-10-16,w180_days_buy 0-1,42698,1.4646315943520065,1.4652284727560767,0.0005968784040701891
RIDGE15_CONTROL,2025-10-16,w180_days_buy 2-15,111441,1.9453560683692304,1.9453985840369907,4.251566776036775e-05
RIDGE15_CONTROL,2025-10-16,w180_days_buy >=16,43240,1.4031426275935308,1.4033911462770257,0.0002485186834948472
RIDGE15_CONTROL,2025-10-16,never purchased,20384,1.181486024400946,1.1829614972609108,0.0014754728599648548
