blend,wcv,delta_wcv,auc,base_auc,folds_better,fold_delta,fold_raw_delta,var_vs_strongest,corr_residuals,corr_residuals_cal
RIDGE15_MAIN,1.7477879401715943,0.000278077651399089,0.8425428950272725,0.8423478067702598,0,"{""2025-09-04"": 0.00019931304548181927, ""2025-09-18"": 0.0004638516582373686, ""2025-10-02"": 0.00027566964816805317, ""2025-10-16"": 0.00024268372704439045}","{""2025-09-04"": -0.0008160522444393692, ""2025-09-18"": 3.587306366514831e-05, ""2025-10-02"": 0.00030270639958551726, ""2025-10-16"": 0.00023257179821722929}",0.001355554008148335,0.9997798645150605,0.9997890370967513
RIDGE15_CONTROL,1.747716581036849,0.00020671851665365892,0.8424701229258921,0.8423478067702598,0,"{""2025-09-04"": 0.00016542970253774492, ""2025-09-18"": 0.00036427383202775054, ""2025-10-02"": 0.00019307689793790495, ""2025-10-16"": 0.00017931159893302961}","{""2025-09-04"": -0.0004138658090231395, ""2025-09-18"": 0.0001275743641500071, ""2025-10-02"": 0.00021588913746550809, ""2025-10-16"": 0.000194608983207889}",0.0010877221259550053,0.9998233575197708,0.9998267232870311
