lambda,2025-09-04,2025-09-18,2025-10-02,2025-10-16,wcv,raw_wcv
1e-05,1.7795980704222234,1.7742188895871458,1.7612019876517375,1.7538674000259507,1.7602522000274048,1.7611834464609428
0.0001,1.7792543472473603,1.7740997595912702,1.7611181598873078,1.7538175449195377,1.760164457689029,1.761097423968092
0.001,1.7790122170372347,1.77398031012966,1.7610292736016093,1.753827194885636,1.7601138327192054,1.7609780738577854
0.01,1.7802167477336917,1.7750161146957224,1.7620290522173148,1.7549688486063277,1.7612077316563344,1.7618355808526103
0.1,1.7824929622002645,1.7774655509754138,1.764647939354991,1.7577064361364032,1.7638444873774854,1.7641740584845778
1.0,1.7921396398569838,1.7875431951528487,1.7748537640885214,1.767398675247761,1.7737220325665901,1.773855263152395
