stage,name,fold,hours,ok,remaining
hurdle_final,recent_hurdle_stable18,TEST,0.21312984466552734,True,5.785690388613277
occ_raw,occ_r10_fast,2025-09-04,0.047966288129488624,True,5.737677032020357
occ_raw,occ_r10_fast,2025-09-18,0.04940112425221337,True,5.688261025547981
occ_raw,occ_r10_fast,2025-10-02,0.050922650496164956,True,5.637324382662773
occ_raw,occ_r10_fast,2025-10-16,0.05243755578994751,True,5.584856549435192
occ_raw,occ_r10_fast,TEST,0.054593712488810224,True,5.530247794389725
occ_raw,occ_r16_bal,2025-09-04,0.08842501123746237,True,5.441753338707818
occ_raw,occ_r16_bal,2025-09-18,0.09283436702357398,True,5.348898007472356
occ_raw,occ_r16_bal,2025-10-02,0.09211894611517589,True,5.2567451645930605
occ_raw,occ_r16_bal,2025-10-16,0.09133067819807264,True,5.165390546255642
occ_raw,occ_r16_bal,TEST,0.10522683759530385,True,5.060137377580007
occ_raw,occ_r22_stable,2025-09-04,0.10313073780801561,True,4.956933045652177
occ_raw,occ_r22_stable,2025-09-18,0.11914874699380662,True,4.837753985590405
occ_raw,occ_r22_stable,2025-10-02,0.12585362593332927,True,4.711872542434269
occ_raw,occ_r22_stable,2025-10-16,0.1295858774582545,True,4.58225825117694
occ_raw,occ_r22_stable,TEST,0.14120187242825827,True,4.441022105415662
occ_raw,occ_r14_multiscale,2025-09-04,0.06662908302413093,True,4.374316404461861
occ_raw,occ_r14_multiscale,2025-09-18,0.06639147169060178,True,4.30789543290933
occ_raw,occ_r14_multiscale,2025-10-02,0.06841564112239414,True,4.239453224076165
occ_raw,occ_r14_multiscale,2025-10-16,0.06890995065371196,True,4.170517995489968
occ_raw,occ_r14_multiscale,TEST,0.07874997138977051,True,4.091740707490179
occ_raw,occ_r18_wide,2025-09-04,0.10706646541754404,True,3.984596278468768
occ_raw,occ_r18_wide,2025-09-18,0.1296680361032486,True,3.854899751411544
occ_raw,occ_r18_wide,2025-10-02,0.1075719157854716,True,3.7472829018036524
occ_raw,occ_r18_wide,2025-10-16,0.10914504792955186,True,3.6381027860773933
occ_raw,occ_r18_wide,TEST,0.13116590519746144,True,3.5068931235869725
occ_raw,occ_r24_multiscale,2025-09-04,0.09232142203383975,True,3.4144854309161503
occ_raw,occ_r24_multiscale,2025-09-18,0.13090307149622177,True,3.283549171818627
occ_raw,occ_r24_multiscale,2025-10-02,0.11513512127929264,True,3.168381267786026
occ_raw,occ_r24_multiscale,2025-10-16,0.13182326085037654,True,3.036516625682513
occ_raw,occ_r24_multiscale,TEST,0.1375385773844189,True,2.8989396265480254
occ_raw,occ_r12_wide,2025-09-04,0.07068718559212155,True,2.8281672298908234
occ_raw,occ_r12_wide,2025-09-18,0.07243932485580444,True,2.7556960747639336
occ_raw,occ_r12_wide,2025-10-02,0.07310715112421248,True,2.682547188401222
occ_raw,occ_r12_wide,2025-10-16,0.07214381807380252,True,2.6103682331906426
occ_raw,occ_r12_wide,TEST,0.08572206841574775,True,2.5245987280872133
occ_raw,occ_r20_shallow,2025-09-04,0.10581250170866649,True,2.4186986815267137
occ_raw,occ_r20_shallow,2025-09-18,0.1157141355673472,True,2.3029473835892147
occ_raw,occ_r20_shallow,2025-10-02,0.11814876086182065,True,2.18476502319177
occ_raw,occ_r20_shallow,2025-10-16,0.1205516211854087,True,2.064170961578687
occ_raw,occ_r20_shallow,TEST,0.12928230861822765,True,1.9348533750242654
