experiment_id,namespace,source_ref,code_path,link_kind,source_report
team_a_current:exp_030,team_a_current,WORKTREE,research/strategies/results/SEQ5/analyze.py,explicit_primary_report_reference,experiments/exp_030_seq_depth_curriculum.md
team_a_current:exp_030,team_a_current,WORKTREE,research/strategies/results/SEQ5/depth_table.py,explicit_primary_report_reference,experiments/exp_030_seq_depth_curriculum.md
team_a_current:exp_030,team_a_current,WORKTREE,research/strategies/results/SEQ5/diag.sh,explicit_primary_report_reference,experiments/exp_030_seq_depth_curriculum.md
team_a_current:exp_030,team_a_current,WORKTREE,research/strategies/results/SEQ5/run.sh,explicit_primary_report_reference,experiments/exp_030_seq_depth_curriculum.md
team_a_current:exp_030,team_a_current,WORKTREE,src/config.py,explicit_primary_report_reference,experiments/exp_030_seq_depth_curriculum.md
team_a_current:exp_030,team_a_current,WORKTREE,src/seq.py,explicit_primary_report_reference,experiments/exp_030_seq_depth_curriculum.md
team_a_current:exp_030,team_a_current,WORKTREE,src/test_seq.py,explicit_primary_report_reference,experiments/exp_030_seq_depth_curriculum.md
team_a_current:exp_030,team_a_current,WORKTREE,src/validation.py,explicit_primary_report_reference,experiments/exp_030_seq_depth_curriculum.md
team_a_current:exp_030b,team_a_current,WORKTREE,research/strategies/results/SEQ6/diag.sh,explicit_primary_report_reference,experiments/exp_030b_seq_d3a_seed43.md
team_a_current:exp_030b,team_a_current,WORKTREE,research/strategies/results/SEQ6/run.sh,explicit_primary_report_reference,experiments/exp_030b_seq_d3a_seed43.md
team_a_current:exp_030b,team_a_current,WORKTREE,research/strategies/results/SEQ6/seed_pair.py,explicit_primary_report_reference,experiments/exp_030b_seq_d3a_seed43.md
team_a_current:exp_030b,team_a_current,WORKTREE,research/strategies/results/SEQ6/truncation_noise.py,explicit_primary_report_reference,experiments/exp_030b_seq_d3a_seed43.md
team_a_current:exp_030b,team_a_current,WORKTREE,src/seq.py,explicit_primary_report_reference,experiments/exp_030b_seq_d3a_seed43.md
team_a_current:exp_030b,team_a_current,WORKTREE,src/test_seq.py,explicit_primary_report_reference,experiments/exp_030b_seq_d3a_seed43.md
team_a_current:exp_030b,team_a_current,WORKTREE,src/validation.py,explicit_primary_report_reference,experiments/exp_030b_seq_d3a_seed43.md
team_a_current:exp_030c,team_a_current,WORKTREE,research/strategies/results/SEQ7/multiseed.py,explicit_primary_report_reference,experiments/exp_030c_seq_d3a_multiseed.md
