original_path,filename,extension,type,purpose,size_bytes,sha256,experiment_association,schema_or_arrays,last_write_utc,copied,evidence_excluded
research/strategies/results/SEQ7/diag_g1.sh,diag_g1.sh,.sh,code;config_or_parameter_source,experiment_or_pipeline_code,2447,2f7c638fc9ee9d39f8fc05e7396701c351308108d6b885da567e2f2b9866f496,component_family:seq;team_a:exp_025,unknown,1787157107487283700,no,no
research/strategies/results/SEQ7/diag_g2.sh,diag_g2.sh,.sh,code;config_or_parameter_source,experiment_or_pipeline_code,2447,7ac75a94468bc4e7874b74427e6ea81856e7b36d2d978fe62b803ab99690ae07,component_family:seq;team_a:exp_025,unknown,1787157107507201200,no,no
research/strategies/results/SEQ7/multiseed.py,multiseed.py,.py,code;config_or_parameter_source,experiment_or_pipeline_code,12823,9fbd1badff9dbaa7c4dcbcbd3e04a106d5085c7b6992b40bbaa98f01f4a98f6e,component_family:seq;team_a:exp_025,unknown,1787148461429882000,no,no
research/strategies/results/SEQ7/run_g1.sh,run_g1.sh,.sh,code;config_or_parameter_source;training_script,experiment_or_pipeline_code,1786,22f8981dc2604b4f77aa0f8ef04964faef4c92761998403341c56131e141d48d,component_family:seq;team_a:exp_025,unknown,1787157107448638900,no,no
research/strategies/results/SEQ7/run_g2.sh,run_g2.sh,.sh,code;config_or_parameter_source;training_script,experiment_or_pipeline_code,1786,fcace611bcdecba97f61eef369538d1065ba40d740e9dc8c329db2eb165d307b,component_family:seq;team_a:exp_025,unknown,1787157107475283800,no,no
research/strategies/results/SEQ7/s04_folds.py,s04_folds.py,.py,code;config_or_parameter_source,experiment_or_pipeline_code,5666,1176eefb6ce7fe679e36478da2c34440f6a1cb80819fb052a63797eb65da7dab,component_family:seq;team_a:exp_025,unknown,1787146984494683700,no,no
research/strategies/results/SEQ8/mix_diversity.py,mix_diversity.py,.py,code;config_or_parameter_source;ensemble_script,experiment_or_pipeline_code,9099,10f4c8c20967e07b39b5f68d7c223cc6888e345f775c19f0559cc4105fc43ff4,component_family:mix;component_family:seq;team_a:exp_025,unknown,1787161465720731500,no,no
research/strategies/results/SEQ8/prod_folds.py,prod_folds.py,.py,code;config_or_parameter_source,experiment_or_pipeline_code,13704,6f2770cd4b173229058eb0d9a71c31f0e4992076e4e5f4818b39b0c3f24032e2,component_family:seq;team_a:exp_025,unknown,1787161940419441900,no,no
research/strategies/results/STRATEGY_04/run.sh,run.sh,.sh,code;config_or_parameter_source;ensemble_script;training_script,experiment_or_pipeline_code,1779,6c15d473ac1e6fe7732617abfbc4c31dfcf33bb91e9b5ab7feb661887a9119a2,unknown,unknown,1786560878858447800,no,no
research/strategies/results/STRATEGY_08/run.sh,run.sh,.sh,code;config_or_parameter_source;training_script,experiment_or_pipeline_code,3570,664ede01a6577a34c07ce606d54642636c7d7b10cbfd3a6654503dbb699ab015,team_a:exp_021,unknown,1786546882281717700,no,no
src/__init__.py,__init__.py,.py,code,experiment_or_pipeline_code,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unknown,unknown,1786377704301046100,no,no
src/adversarial.py,adversarial.py,.py,code;config_or_parameter_source;inference_script;training_script,experiment_or_pipeline_code,2733,b59a3565c5bc5fbfce3d862c2896017e3f5151b068827ea1f9736eeb1f8bc345,unknown,unknown,1786388085862608400,no,no
src/anchor.py,anchor.py,.py,code,experiment_or_pipeline_code,6594,c248f583f334e67f80d03c7e4be9ef1416739439cf3790f5acb3b1a9617700ac,unknown,unknown,1786388085866681900,no,no
