exp,cutoff,rmsle_cal,auc
S1-ROUNDS,2025-09-04,1.77106,0.83925
S1-ROUNDS,2025-09-18,1.7648,0.84137
S1-ROUNDS,2025-10-02,1.75243,0.84307
S1-ROUNDS,2025-10-16,1.74447,0.84403
SEQ-01-S42,2025-09-04,1.77057,0.83937
SEQ-01-S42,2025-09-18,1.76475,0.84077
SEQ-01-S42,2025-10-02,1.75352,0.84206
SEQ-01-S42,2025-10-16,1.74704,0.84269
