exp,wcv,auc_w,auc_pooled,rmsle_0904,rmsle_0918,rmsle_1002,rmsle_1016,auc_0904,auc_0918,auc_1002,auc_1016
SEQ-01-S42,1.7526995452373275,0.8420456408065143,0.8412439868406405,1.7705661525985958,1.7647469394922755,1.7535221154419587,1.7470430856511163,0.839373756508,0.8407650450103626,0.8420644865321731,0.8426903524300372
S1-ROUNDS,1.7510761355035611,0.8431008885067256,0.8419577664449391,1.7710585355768218,1.7647987290942815,1.752425346273383,1.7444730817118126,0.8392528959237361,0.8413747527969777,0.8430674391602119,0.844030146180293
S1-E10,1.7516982380222585,0.8427798187204911,0.8416256728490241,1.7720932694122156,1.7653715542673754,1.7532560256615686,1.7449516362175796,0.8388900828175284,0.8411008909586619,0.842690661157204,0.8437303464304623
S1-DIST,1.7506161140688172,0.8434806303907325,0.8423745905289207,1.770149235145707,1.76382365074013,1.7518319203417658,1.7442646866299036,0.8397032451069543,0.841791327681351,0.8435269308318953,0.8443519790079688
S1-E02,1.7515059933126362,0.8420989941289978,0.8411498937194273,1.7715221658861866,1.7642669708702416,1.7528701000050697,1.7451316740053244,0.8391147606383579,0.8407258073014426,0.8418958396119187,0.8429168972807561
S1-E03a,1.7606420875769127,0.8401574576785819,0.839326650464038,1.7769911659449604,1.7720337133335358,1.7614534518169516,1.7553448642217315,0.8372962857902819,0.8388359144256852,0.8402289170989645,0.8408097602676522
S1-DIST-MIX,1.7494835973237886,0.8433383084731666,0.8422850772660821,1.7691335679979736,1.762566098123157,1.7507266460832276,1.743135201409954,0.8398167043753095,0.8417473455021518,0.8433085441013726,0.8441911319140495
