depth,static,rmsle_cal,d,mean_z,var_vs_full
full,кал.,1.7430556605610397,0.0,2.6387457847595215,0.0
289,кал.,1.7430556605610397,0.0,2.6387457847595215,0.0
289,=289,1.7430556605610397,0.0,2.6387457847595215,0.0
254,кал.,1.745497519773416,0.002441859212376274,2.619098663330078,0.007837627083063126
254,=254,1.7446799836128557,0.0016243230518160345,2.6983728408813477,0.008818600326776505
212,кал.,1.7501533515466587,0.007097690985619076,2.576444387435913,0.02502323128283024
212,=212,1.748543785387868,0.005488124826828367,2.724165201187134,0.02686999924480915
180,кал.,1.7556474789369647,0.012591818375925046,2.5346198081970215,0.04501188173890114
180,=180,1.7532802406043395,0.010224580043299847,2.7123889923095703,0.04561562463641167
150,кал.,1.763883047986006,0.02082738742496626,2.48659348487854,0.0725158154964447
150,=150,1.760617646241293,0.017561985680253356,2.679810047149658,0.07010412216186523
