model,status,reason,fold,optimal_fold_log_shift,mean_raw_prediction,mean_calibrated_prediction,floor_share
S1-BEST,UNAVAILABLE_FOR_COMPARISON,NOT_RUN: canonical row-level OOF is missing for occ_meta_B and occ_raw_X3,,,,,
STRONGEST_CURRENT,UNAVAILABLE_FOR_COMPARISON,NOT_RUN: canonical row-level OOF is missing for occ_meta_B and occ_raw_X3,,,,,
latest,UNAVAILABLE_FOR_COMPARISON,NOT_RUN: canonical row-level OOF is missing for occ_meta_B and occ_raw_X3,,,,,
friend,UNAVAILABLE_FOR_COMPARISON,NOT_RUN: canonical row-level OOF is missing for occ_meta_B and occ_raw_X3,,,,,
occ_meta_B,UNAVAILABLE_FOR_COMPARISON,NOT_RUN: canonical row-level OOF is missing for occ_meta_B and occ_raw_X3,,,,,
occ_raw_X3,UNAVAILABLE_FOR_COMPARISON,NOT_RUN: canonical row-level OOF is missing for occ_meta_B and occ_raw_X3,,,,,
