a,b,corr,var_of_diff,var_mean,share_seed_specific
SEQ-01-S43-V0904,SEQ-01-S44-V0904,0.7814949166647019,0.02614353969693184,0.055202923715114594,0.2367948827479741
SEQ-01-S43-V0904,SEQ-01C-S42-V0904,0.8025632443181211,0.024028101935982704,0.052619755268096924,0.2283182600675341
SEQ-01-S44-V0904,SEQ-01C-S42-V0904,0.8415499506158896,0.013050583191215992,0.040746696293354034,0.16014283829612708
