ckpt,seed,panel,depth,train_max,avail,extrap,over_train,rmsle,rmsle_cal,d_cal,auc,bias,mean_z,var_vs_clip
SEQ-01-S43-V0904,43,1016,212,212,289,77,0,1.7529198390898624,1.7528794337176825,0.0,0.8418493543600334,-0.011853356328026532,2.6433724860599424,0.0
SEQ-01-S43-V0904,43,1016,226,212,289,77,14,1.752179733231745,1.7514259905355887,-0.0014534431820938387,0.8422489749008837,-0.05137851570103358,2.6828976454329494,0.009193565587379758
SEQ-01-S43-V0904,43,1016,240,212,289,77,28,1.7530676219053485,1.7505371935946914,-0.0023422401229911127,0.8424943552960649,-0.094139105402534,2.72565823513445,0.019300302472795232
SEQ-01-S43-V0904,43,1016,247,212,289,77,35,1.754128063583672,1.750122085723617,-0.002757347994065462,0.8426393707266937,-0.11845633888439844,2.7499754686163143,0.025679235312213486
SEQ-01-S43-V0904,43,1016,254,212,289,77,42,1.7551486885032976,1.7496648468498484,-0.003214586867834157,0.8426939135211051,-0.13860036958915734,2.770119499321073,0.03142443051193614
SEQ-01-S43-V0904,43,1016,261,212,289,77,49,1.7561366829461755,1.749317984074065,-0.003561449643617598,0.8426883241124491,-0.1545638118714212,2.786082941603337,0.03673064179363424
SEQ-01-S43-V0904,43,1016,268,212,289,77,56,1.75867514709469,1.7493656155040431,-0.003513818213639386,0.842731706859749,-0.1806575514488844,2.8121766811808,0.044828918617206455
SEQ-01-S43-V0904,43,1016,275,212,289,77,63,1.7615073865475224,1.7495708608311151,-0.0033085728865673847,0.8426635698964794,-0.2046539526929494,2.836173082424865,0.05286679733971674
SEQ-01-S43-V0904,43,1016,282,212,289,77,70,1.764418591188503,1.7499624765910693,-0.0029169571266132177,0.8425734660649478,-0.22531977771957168,2.8568389074514875,0.06045567112425316
SEQ-01-S43-V0904,43,1016,289,212,289,77,77,1.767041464919891,1.7504462844795277,-0.0024331492381548525,0.8424542679901097,-0.24150641439644494,2.8730255441283608,0.06707598199542808
SEQ-01-S43-V0918,43,1016,226,226,289,63,0,1.7507419781996414,1.750691830309977,0.0,0.8423154235738838,-0.013077380119562054,2.644596509851478,0.0
SEQ-01-S43-V0918,43,1016,240,226,289,63,14,1.750377962451058,1.7498147483206405,-0.0008770819893364479,0.8426163883202714,-0.04410565189189031,2.675624781623806,0.00800906123571685
SEQ-01-S43-V0918,43,1016,247,226,289,63,21,1.7504378076253533,1.7492400687614789,-0.0014517615484981317,0.8428481770348626,-0.0643588214151336,2.6958779511470494,0.012672691075791224
SEQ-01-S43-V0918,43,1016,254,226,289,63,28,1.750720246742065,1.7488116665852005,-0.0018801637247765068,0.8429612487218545,-0.081184927385483,2.712704057117399,0.016775757714117587
SEQ-01-S43-V0918,43,1016,261,226,289,63,35,1.7504893013623068,1.748124139886548,-0.002567690423429081,0.8430829279250797,-0.09046697156382777,2.7219861012957436,0.0199837697602411
SEQ-01-S43-V0918,43,1016,268,226,289,63,42,1.7513412840995652,1.7477423147356848,-0.0029495155742922385,0.8432397578174714,-0.11160513392728255,2.7431242636591984,0.023328581279079993
SEQ-01-S43-V0918,43,1016,275,226,289,63,49,1.752692986219956,1.7474899854006891,-0.0032018449092878765,0.843329920934708,-0.13419893018078888,2.7657180599127047,0.026297453858477416
SEQ-01-S43-V0918,43,1016,282,226,289,63,56,1.7543500101823515,1.7472716322773052,-0.003420198032671795,0.8433784314627389,-0.1564434241923367,2.7879625539242525,0.029150331371400887
SEQ-01-S43-V0918,43,1016,289,226,289,63,63,1.7563532022943003,1.7473557274324694,-0.0033361028775076296,0.843361588101877,-0.17625181895753483,2.8077709486894507,0.03169328722107214
SEQ-01-S43-V1002,43,1016,226,240,289,49,-14,1.7500622655294624,1.7500568865806307,0.0013907942428570408,0.8424298824706403,0.00433900470429327,2.6271801250276225,0.006428323700130255
SEQ-01-S43-V1002,43,1016,240,240,289,49,0,1.750940449052962,1.7486660923377737,0.0,0.8426604530695485,0.08921520967822527,2.5423039200536905,0.0
