pair,alpha,score,d_vs_a0,d_a1
SEQ-01-S43-V0904->1016,0.75,1.7474661902084683,-0.005413243509214238,-0.0024331492381548525
SEQ-01-S43-V0918->1016,0.75,1.7465302113370604,-0.004161618972916559,-0.0033361028775076296
SEQ-01-S43-V1002->1016,0.75,1.745998789983007,-0.002667302354766754,-0.0021485450941844952
SEQ-01-S44-V0904->1016,0.75,1.7486402764371793,-0.0052071885678475205,-0.0038621137606174027
SEQ-01-S44-V0918->1016,0.75,1.7479730569943601,-0.0032853936694596797,-0.0020363813835224676
SEQ-01-S44-V1002->1016,0.75,1.7464897721045314,-0.0024089288065860526,-0.0018536724603006594
SEQ-01C-S42-V0904->1016,0.75,1.7473603352102818,-0.005558141081118073,-0.0046871027349078
