our_weight,wcv
0.0,1.7509569765739317
0.01,1.7508718615136265
0.02,1.750787800228618
0.03,1.7507047893345933
0.04,1.750622825586865
0.05,1.7505419058743308
0.06,1.7504620272131555
0.07,1.7503831867489121
0.08,1.7503053817653502
0.09,1.7502286096735644
0.1,1.750152867985062
0.11,1.7500781543184567
0.12,1.750004466399496
0.13,1.7499318008709877
0.14,1.7498601545471195
0.15,1.7497895278186824
0.16,1.7497199188406272
0.17,1.7496513258656143
0.18,1.7495837472437876
0.19,1.7495171802831866
0.2,1.7494516242538678
0.21,1.7493870782067904
0.22,1.749323540873288
0.23,1.7492610110754958
0.24,1.7491994877199117
0.25,1.7491389697974824
0.26,1.74907945639281
0.27,1.7490209466782096
0.28,1.7489634399064375
0.29,1.7489069354214013
0.3,1.7488514326548352
0.31,1.7487969311220501
0.32,1.7487434304166805
0.33,1.7486909302081217
0.34,1.7486394302481187
0.35000000000000003,1.7485889303723847
0.36,1.7485394305047939
0.37,1.7484909306246326
0.38,1.7484434221482563
0.39,1.748396913928664
0.4,1.7483514062021173
0.41000000000000003,1.74830689928431
0.42,1.7482633935737057
0.43,1.7482208895486961
0.44,1.7481793877680798
0.45,1.7481388888674536
0.46,1.7480993935599647
0.47000000000000003,1.7480609026392477
0.48,1.7480234169852111
0.49,1.747986937553149
0.5,1.7479514653771322
0.51,1.7479170015713308
0.52,1.747883547327306
0.53,1.747851103915651
0.54,1.7478196726871456
0.55,1.7477892550736698
0.56,1.7477598513233155
0.5700000000000001,1.7477314642642725
0.58,1.7477040956042447
0.59,1.7476777471024774
0.6,1.747652420601431
0.61,1.7476281180283184
0.62,1.7476048413944345
0.63,1.7475825927954065
0.64,1.7475613744125538
0.65,1.747541188513995
0.66,1.7475220374553042
0.67,1.7475039236800876
0.68,1.7474868497209073
0.6900000000000001,1.7474708182004512
0.7000000000000001,1.7474558318325852
0.71,1.7474418934235463
0.72,1.7474290058730961
0.73,1.7474171721755347
0.74,1.747406395421163
0.75,1.7473966787976731
0.76,1.7473880255916856
0.77,1.7473804391907617
0.78,1.7473739230841105
0.79,1.747368480864816
0.8,1.7473641162317486
0.81,1.7473608329915933
0.8200000000000001,1.7473586350606662
0.8300000000000001,1.7473575264673784
0.84,1.7473575113547797
0.85,1.747358593983227
0.86,1.7473607787332979
0.87,1.7473640701089612
0.88,1.7473684727409595
0.89,1.7473739913907336
0.9,1.7473806309549724
0.91,1.7473883964696288
0.92,1.7473972931155752
0.93,1.7474073262248615
0.9400000000000001,1.7474185012882495
0.9500000000000001,1.7474308239627034
0.96,1.7474443000814481
0.97,1.7474589356660324
0.98,1.747474736940915
0.99,1.747491710351604
1.0,1.7475098625880228
