model,feature,gain,split,gain_share,task
p07_late,w60_days_presence_only,48.73213977813721,5.0,0.0019327168185985161,p07_late
p07_late,w180_days_buy,48.2807279586792,4.6,0.0019148138244030495,p07_late
p07_late,w90_orders,46.73151836395264,4.2,0.0018533721669487732,p07_late
p07_late,w60_days_cat,46.26044635772705,4.2,0.0018346894496835734,p07_late
p07_late,w14_days_search,46.104506206512454,4.6,0.0018285048627904189,p07_late
p07_late,w14_orders,46.06315393447876,4.8,0.0018268648315500375,p07_late
p07_late,w30_days_cart,43.4903660774231,4.2,0.0017248280569561927,p07_late
p07_late,w90_gmv_cat,43.196758079528806,4.2,0.0017131835628258546,p07_late
p07_late,w30_days_cat,39.3791000366211,4.2,0.0015617752327016798,p07_late
p07_late,w7_orders,39.28367395401001,4.2,0.0015579906339618118,p07_late
p07_late,w7_buyday_rate,35.74366989135742,3.8,0.0014175940615776621,p07_late
p07_late,w60_cat_gmv_share,34.028921890258786,3.6,0.0013495871504001576,p07_late
p07_late,w7_days_cat,33.86485605239868,3.6,0.0013430802987487974,p07_late
p07_late,w90_days_buy,32.27450819015503,3.4,0.001280007097473949,p07_late
p07_late,w30_orders,29.48697786331177,3.0,0.0011694536358453176,p07_late
p07_late,w60_gmv_cat,29.2646541595459,2.8,0.0011606362770468397,p07_late
p07_late,w90_presence_rate,28.99335594177246,2.8,0.0011498765888670532,p07_late
p07_late,w14_cat_gmv_share,28.333239936828612,3.0,0.0011236963860114131,p07_late
p07_late,w60_days_buy,24.461698246002197,2.4,0.0009701510302394001,p07_late
p07_late,w14_days_cart,23.562434196472168,2.6,0.0009344862151748371,p07_late
p07_late,w14_gmv_cat,21.667698192596436,2.6,0.0008593409792347225,p07_late
p07_late,w30_cat_gmv_share,21.33746204376221,2.0,0.0008462438125216068,p07_late
p07_late,w30_gmv_cat,20.79099645614624,2.2,0.0008245709855786673,p07_late
p07_late,w7_days_buy,19.89749984741211,2.0,0.0007891349072344137,p07_late
p07_late,w7_gmv_cat,19.117193984985352,2.0,0.0007581879742487253,p07_late
p07_late,w7_cat_gmv_share,18.026613998413087,1.8,0.0007149355685125672,p07_late
p07_late,w180_lgmv,17.88813409805298,1.6,0.0007094434552238358,p07_late
p07_late,w7_days_cart,16.663220119476318,1.8,0.0006608633629375201,p07_late
p07_late,w7_days_search,14.223998069763184,1.6,0.0005641238086877001,p07_late
p07_late,w90_lgmv,12.475410175323486,1.2,0.0004947748072326576,p07_late
p07_late,w30_presence_rate,11.359637832641601,1.0,0.00045052327257306507,p07_late
p07_late,w180_presence_rate,10.945926094055176,1.0,0.00043411546370487463,p07_late
p07_late,w14_days_buy,10.678670120239257,1.0,0.0004235160909333001,p07_late
p07_late,w30_lgmv,10.420880031585693,1.0,0.0004132921351973718,p07_late
p07_late,w14_lgmv,10.011459827423096,1.0,0.00039705452859808,p07_late
p07_late,w7_presence_rate,9.116419982910156,1.0,0.00036155724551793035,p07_late
p07_late,w14_presence_rate,8.235782051086426,0.8,0.0003266311423408415,p07_late
p07_late,w30_days_buy,7.923172092437744,0.6,0.00031423303038654655,p07_late
p07_late,w7_gmv30eq,6.863589859008789,0.6,0.00027220999563864367,p07_late
p07_late,w60_lgmv,6.773680114746094,0.6,0.000268644174895218,p07_late
p07_late,w7_lgmv,6.717880058288574,0.8,0.0002664311444786349,p07_late
p07_late,w60_presence_rate,4.7048540115356445,0.4,0.00018659452506177685,p07_late
p07_late,w60_gmv30eq,3.448799991607666,0.4,0.00013677941863642393,p07_late
p07_late,w180_gmv30eq,2.3827600479125977,0.2,9.450027107882759e-05,p07_late
p07_late,w30_gmv30eq,2.238640022277832,0.2,8.87844704037642e-05,p07_late
p07_late,w90_gmv30eq,1.5920720100402832,0.2,6.314158098194678e-05,p07_late
p07_late,w14_gmv30eq,0.0,0.0,0.0,p07_late
