oracle,fold,baseline,oracle_rmsle,delta,gain
ETX_seed_42_43_44,2025-09-04,1.7677364506088247,1.7470605053788466,-0.020675945229978065,0.020675945229978065
ETX_seed_42_43_44,2025-09-18,1.7612085005055362,1.741894664499045,-0.01931383600649128,0.01931383600649128
ETX_seed_42_43_44,2025-10-02,1.7490444498254103,1.7292001400555563,-0.019844309769853963,0.019844309769853963
ETX_seed_42_43_44,2025-10-16,1.741451448257174,1.7224458217770866,-0.0190056264800873,0.0190056264800873
ETX_seed_42_43_44,wCV,1.747509863,1.7281281384557952,-0.019381724544204993,0.019381724544204993
SEQ_seed_42_43_44,2025-09-04,1.766753957295164,1.7347339912470539,-0.03201996604811019,0.03201996604811019
SEQ_seed_42_43_44,2025-09-18,1.7604716642612257,1.7289919411974195,-0.0314797230638062,0.0314797230638062
SEQ_seed_42_43_44,2025-10-02,1.7487947251578722,1.7165499468712615,-0.032244778286610654,0.032244778286610654
SEQ_seed_42_43_44,2025-10-16,1.741705055763712,1.710670175425548,-0.031034880338163928,0.031034880338163928
SEQ_seed_42_43_44,wCV,1.747509863,1.716027358464835,-0.03148250453516511,0.03148250453516511
