variant,fold,rmsle,offset
z_strong_raw,2025-09-04,1.7668833567997195,-0.11734465876764338
z_strong_raw,2025-09-18,1.7605095767798136,-0.07873621159214053
z_strong_raw,2025-10-02,1.748629223964952,-0.02097755276250928
z_strong_raw,2025-10-16,1.7412785664479717,-0.035387154112119984
z_strong_raw,wCV,1.7475098625201952,
z_tab_raw,2025-09-04,1.7692437685920093,-0.11387639172720314
z_tab_raw,2025-09-18,1.7627250202953266,-0.06861811298615905
z_tab_raw,2025-10-02,1.7509897502626999,-0.03934891756613543
z_tab_raw,2025-10-16,1.743550341017378,-0.06011641487152427
z_tab_raw,wCV,1.7498037025581656,
z_neural_raw,2025-09-04,1.766929175326681,-0.12159831798827124
z_neural_raw,2025-09-18,1.7607566479432544,-0.09110433397178026
z_neural_raw,2025-10-02,1.7487087616144985,0.0014763375530341624
z_neural_raw,2025-10-16,1.7413672034520207,-0.00516250241667501
z_neural_raw,wCV,1.7476143430191564,
z_full_etx,2025-09-04,1.7677364506088247,-0.1426885917671219
z_full_etx,2025-09-18,1.7612085005055362,-0.09965515768250324
z_full_etx,2025-10-02,1.7490444498254103,-0.04961539235915568
z_full_etx,2025-10-16,1.741451448257174,-0.045509365436554525
z_full_etx,wCV,1.7478628557985951,
z_full_seq,2025-09-04,1.766753957295164,-0.09201100112172982
z_full_seq,2025-09-18,1.7604716642612257,-0.057817296637746964
z_full_seq,2025-10-02,1.7487947251578722,0.007660286834137127
z_full_seq,2025-10-16,1.741705055763712,-0.02526494278768543
z_full_seq,wCV,1.74776777550392,
