advantage_weighted_accuracy,auc,brier,control,direction,feature_set,mean_probability,n_eval,n_train,target,weight_p10,weight_p99,weighted_auc,winner_rate
0.508771714820001,0.5254874409972251,0.24908272037178442,REAL,0->1,DISAGREEMENT_ONLY,0.49746961380828403,98672,286545,semantic_etx_vs_seq,0.00791587867766862,0.9451313322083333,0.5134659724622614,0.46961650721582615
0.5073932624045886,0.5375716724058326,0.24870427664455483,REAL,1->0,DISAGREEMENT_ONLY,0.49827185688208675,98707,286692,semantic_etx_vs_seq,0.007972454744818284,0.9445214540900616,0.5142559412358773,0.4695411672930998
0.508083088660405,0.5314924333688513,0.24889346495462428,REAL,combined,DISAGREEMENT_ONLY,0.4978708064735921,197379,573237,semantic_etx_vs_seq,0.00794183744334298,0.9449650765890267,0.5138547748646407,0.4695788305746812
0.5026590423198987,0.5087033635718325,0.24980100610572148,REAL,0->1,STATE_ONLY,0.4919239963330647,98672,286545,semantic_etx_vs_seq,0.00791587867766862,0.9451313322083333,0.5034206363139033,0.46961650721582615
0.5047841998625454,0.504527593053121,0.25003942753935093,REAL,1->0,STATE_ONLY,0.49260201247267676,98707,286692,semantic_etx_vs_seq,0.007972454744818284,0.9445214540900616,0.5074156941721957,0.4695411672930998
0.5037188979752795,0.5066563578145492,0.24992023796143698,REAL,combined,STATE_ONLY,0.4922630645170797,197379,573237,semantic_etx_vs_seq,0.00794183744334298,0.9449650765890267,0.5054289697779588,0.4695788305746812
0.5069105746689048,0.528546995089623,0.24902899346988927,REAL,0->1,COMBINED,0.4975626162418729,98672,286545,semantic_etx_vs_seq,0.00791587867766862,0.9451313322083333,0.513185931698884,0.46961650721582615
0.5072225097830199,0.5249798988673198,0.24929869693302803,REAL,1->0,COMBINED,0.49791948444695544,98707,286692,semantic_etx_vs_seq,0.007972454744818284,0.9445214540900616,0.5139862729372627,0.4695411672930998
0.5070655970521454,0.5267590575301018,0.249163869113884,REAL,combined,COMBINED,0.4977410819850325,197379,573237,semantic_etx_vs_seq,0.00794183744334298,0.9449650765890267,0.5135304856354045,0.4695788305746812
0.5011319767083173,0.49037053745217857,0.2504268071341461,SHUFFLED,0->1,COMBINED,0.49264872625114603,98672,286545,semantic_etx_vs_seq,0.00791587867766862,0.9451313322083333,0.5003916642990928,0.46961650721582615
0.49870664241811924,0.48731568007192166,0.2503943278060654,SHUFFLED,1->0,COMBINED,0.48953129962671765,98707,286692,semantic_etx_vs_seq,0.007972454744818284,0.9445214540900616,0.5033760050539168,0.4695411672930998
0.4999219101216419,0.48862532787555685,0.2504105645904263,SHUFFLED,combined,COMBINED,0.49108973654191945,197379,573237,semantic_etx_vs_seq,0.00794183744334298,0.9449650765890267,0.5016937795970244,0.4695788305746812
