feature,n,n_finite,mean,std,p01,p10,p50,p90,p99
pred_cap,770616,770616,2.69468395045514,1.5487581462640847,0.32270550429821016,0.6779403388500214,2.573573112487793,4.853785991668701,6.28904321193695
pred_unc,770616,770616,2.719892016701737,1.5424251055548273,0.2742203235626221,0.7037264108657837,2.6013071537017822,4.855144739151001,6.303562498092651
pred_dist,770616,770616,2.6769295094185495,1.5156168305157092,0.32468828856945037,0.7234369516372681,2.533146023750305,4.8148534297943115,6.204674053192138
pred_etx,770616,770616,2.7259607512941413,1.5424002514383526,0.2747395932674408,0.7135416865348816,2.609375,4.875,6.333333492279053
pred_seq,770616,770616,2.6318555789276847,1.5644517461130802,0.1793619841337204,0.58203125,2.5,4.822916507720947,6.270833492279053
pred_strongest,770616,770616,2.6881878504411003,1.537088067947078,0.2846801713109016,0.6855780482292175,2.559751510620117,4.835311651229858,6.268841052055358
etx_minus_seq,770616,770616,0.09410517236744452,0.15225563198253722,-0.30208349227905273,-0.09374988079071045,0.09765625,0.27604150772094727,0.4635416269302368
etx_minus_dist,770616,770616,0.049031241875988146,0.15862869623125653,-0.3154690682888031,-0.13253867626190186,0.03929877281188965,0.2437056303024292,0.47228293418884226
seq_minus_dist,770616,770616,-0.045073930490653905,0.18263376160968112,-0.4638616323471069,-0.25806987285614014,-0.05450040102005005,0.17865455150604248,0.44674094915390006
neural_mean_minus_tabular_mean,770616,770616,-0.016872154415961505,0.1405008206715392,-0.34598268866539,-0.17985141277313232,-0.024133059196174145,0.15523062646389008,0.3591937258839607
component_prediction_mean,770616,770616,2.6898643614074653,1.5378658888713703,0.2895082339644432,0.6862554848194122,2.5620533227920532,4.837307453155518,6.271094202995299
component_prediction_std,770616,770616,0.11405367767723777,0.05812173445767748,0.025221625808626417,0.05216389521956444,0.10400641709566116,0.18677879124879837,0.3045845493674278
component_prediction_range,770616,770616,0.3168332142874232,0.1636412406653213,0.06901043653488159,0.14307644963264465,0.2877930998802185,0.5228886604309082,0.853963446617126
component_prediction_median,770616,770616,2.693001750896975,1.5359281453149827,0.29668988883495334,0.7016024887561798,2.56074595451355,4.839697360992432,6.270833492279053
component_prediction_min,770616,770616,2.526559301160859,1.5399250403129323,0.1666666716337204,0.5208333134651184,2.377890467643738,4.697916507720947,6.129051923751825
component_prediction_max,770616,770616,2.8433925154478894,1.548128102553572,0.3569688215851784,0.7942708134651184,2.746612071990967,4.977054595947266,6.416666507720947
component_max_minus_min,770616,770616,0.3168332142874232,0.1636412406653213,0.06901043653488159,0.14307644963264465,0.2877930998802185,0.5228886604309082,0.853963446617126
dist_p0,770616,770616,0.38604041952564583,0.27646935234591863,0.0025920622050762177,0.03670701943337917,0.3532547950744629,0.7995385825634003,0.9108894616365432
dist_p_act,770616,770616,0.6139595804466793,0.2764693523502673,0.0891105592250824,0.20046142488718033,0.6467452049255371,0.9632929861545563,0.9974079132080078
abs_cap_minus_unc,770616,770616,0.1640272351134572,0.14646721077168162,0.0019728630781173707,0.019949257373809814,0.12534034252166748,0.358900249004364,0.659567719697952
abs_cap_minus_dist,770616,770616,0.1488867828882529,0.13492787840515547,0.0018054425716400148,0.018036067485809326,0.11246037483215332,0.3271164894104004,0.606105351448059
abs_cap_minus_etx,770616,770616,0.1845474638366761,0.1622012747069288,0.0024593234062194828,0.02466660737991333,0.14235708117485046,0.3993699550628662,0.7288226962089529
abs_cap_minus_seq,770616,770616,0.20564529899816933,0.16033664431182265,0.0033765196800231937,0.03401470184326172,0.17244338989257812,0.4170341491699219,0.7206746280193326
abs_unc_minus_dist,770616,770616,0.12111239349536157,0.1081239137603894,0.0016472905874252324,0.016817092895507812,0.09327298402786255,0.2596706748008728,0.49079385399818337
abs_unc_minus_etx,770616,770616,0.12505643345327688,0.11236830592381342,0.0017030417919158937,0.016980648040771484,0.09594297409057617,0.2693181037902832,0.5083918511867518
abs_unc_minus_seq,770616,770616,0.16085324163758166,0.13066851185163555,0.0025735616683959964,0.025172114372253418,0.13173389434814453,0.33236163854599,0.5866751134395597
abs_dist_minus_etx,770616,770616,0.12419045427900852,0.11019916975142514,0.0017397716641426087,0.017229974269866943,0.09655487537384033,0.26503700017929077,0.4895460009574887
abs_dist_minus_seq,770616,770616,0.14563871635472747,0.11906348889615725,0.0022331833839416507,0.022647850215435028,0.11994004249572754,0.29858195781707764,0.5311283707618712
abs_etx_minus_seq,770616,770616,0.1422882656008906,0.10858918182304654,0.0,0.0234375,0.12109375,0.28645825386047363,0.47916674613952637
component_rank_cap,770616,770616,2.181152480612912,1.5728575963445313,0.0,0.0,2.0,4.0,4.0
component_rank_unc,770616,770616,2.2860010692744503,1.298768724306552,0.0,0.0,2.0,4.0,4.0
component_rank_dist,770616,770616,1.8534341358082365,1.2220326158075934,0.0,0.0,2.0,4.0,4.0
component_rank_etx,770616,770616,2.4172311501448194,1.283469335273542,0.0,1.0,3.0,4.0,4.0
component_rank_seq,770616,770616,1.2621811641595815,1.357979632072101,0.0,0.0,1.0,3.0,4.0
