candidate,segment,n,share_late,base_rmsle,candidate_rmsle,delta_rmsle
GATE_REAL,all,197379,1.0,1.7412785664479717,1.741272147092863,-6.419355108810976e-06
GATE_REAL,y_zero,76413,0.3871384493791133,1.8493381199127794,1.8492422453304538,-9.587458232562796e-05
GATE_REAL,y_positive,120966,0.6128615506208868,1.669417590331512,1.6694737525433019,5.616221178983416e-05
GATE_REAL,rec_buy_15_60,56145,0.28445275333242137,1.9405843349902085,1.9405793241295481,-5.010860660403793e-06
GATE_REAL,w180_days_buy_2_15,111441,0.5646041372182451,1.9453560683692304,1.9453538240563617,-2.2443128686600033e-06
GATE_REAL,intersection,45667,0.23136706539196167,1.981471129437484,1.981464405579314,-6.723858170021302e-06
GATE_REAL,never_buyer,20384,0.103273397879207,1.181486024400946,1.1814808759304476,-5.148470498372859e-06
GATE_REAL,frequent_buyer,43240,0.21907092446511534,1.4031426275935308,1.4031261130380779,-1.6514555452928903e-05
GATE_REAL,disagreement_low,83906,0.4251009479225247,1.7414287871482772,1.7414285562151135,-2.3093316370292882e-07
GATE_REAL,disagreement_medium,68122,0.34513296753960654,1.71407020439509,1.7140616072591177,-8.59713597223255e-06
GATE_REAL,disagreement_high,45351,0.22976608453786876,1.7810959103192867,1.7810814417928034,-1.4468526483346622e-05
GATE_REAL,etx_much_greater_seq,8503,0.04307955760237918,1.7883213217405727,1.7882606387956583,-6.068294491434756e-05
GATE_REAL,seq_much_greater_etx,29406,0.14898241454258052,1.8739344576210055,1.8739437952708613,9.337649855778452e-06
GATE_REAL,neural_much_greater_tabular,11008,0.055770877347640836,1.88512897253699,1.8851038799989333,-2.509253805671463e-05
GATE_REAL,tabular_much_greater_neural,29802,0.1509887070053045,1.813281260236848,1.8132589441568867,-2.2316079961282043e-05
GATE_REAL,prediction_decile_01,19738,0.1000005066395108,1.1445364843560253,1.1445255887912982,-1.0895564727109175e-05
GATE_REAL,prediction_decile_02,19738,0.1000005066395108,1.5919808421948747,1.59197820825382,-2.633941054597244e-06
GATE_REAL,prediction_decile_03,19738,0.1000005066395108,1.8566418037330057,1.8566317452088406,-1.0058524165135196e-05
GATE_REAL,prediction_decile_04,19738,0.1000005066395108,1.9692493083670495,1.9692391778798959,-1.0130487153592327e-05
GATE_REAL,prediction_decile_05,19738,0.1000005066395108,2.036395596158834,2.0363926234455896,-2.972713244453473e-06
GATE_REAL,prediction_decile_06,19738,0.1000005066395108,2.028537491791512,2.028532802706197,-4.689085315146002e-06
GATE_REAL,prediction_decile_07,19738,0.1000005066395108,1.959214483838474,1.9592136276071415,-8.56231332502233e-07
GATE_REAL,prediction_decile_08,19738,0.1000005066395108,1.7863087410901235,1.786321430088521,1.2688998397569762e-05
GATE_REAL,prediction_decile_09,19738,0.1000005066395108,1.5503235043559254,1.5503039541682069,-1.955018771848671e-05
GATE_REAL,prediction_decile_10,19737,0.0999954402444029,1.206734258175085,1.2067080663279477,-2.6191847137368995e-05
GATE_SHUFFLED,all,197379,1.0,1.7412785664479717,1.741280020427719,1.4539797472679084e-06
GATE_SHUFFLED,y_zero,76413,0.3871384493791133,1.8493381199127794,1.8493574567883218,1.9336875542341758e-05
GATE_SHUFFLED,y_positive,120966,0.6128615506208868,1.669417590331512,1.6694065334286228,-1.1056902889272635e-05
GATE_SHUFFLED,rec_buy_15_60,56145,0.28445275333242137,1.9405843349902085,1.940581551991986,-2.7829982225391348e-06
GATE_SHUFFLED,w180_days_buy_2_15,111441,0.5646041372182451,1.9453560683692304,1.9453552783266714,-7.90042558929116e-07
GATE_SHUFFLED,intersection,45667,0.23136706539196167,1.981471129437484,1.981468431493675,-2.6979438090268815e-06
GATE_SHUFFLED,never_buyer,20384,0.103273397879207,1.181486024400946,1.181498489484678,1.2465083732093873e-05
GATE_SHUFFLED,frequent_buyer,43240,0.21907092446511534,1.4031426275935308,1.403150989354903,8.361761372199794e-06
GATE_SHUFFLED,disagreement_low,83906,0.4251009479225247,1.7414287871482772,1.7414304921738395,1.7050255622930166e-06
GATE_SHUFFLED,disagreement_medium,68122,0.34513296753960654,1.71407020439509,1.714069258127581,-9.462675090166073e-07
GATE_SHUFFLED,disagreement_high,45351,0.22976608453786876,1.7810959103192867,1.7811003805461463,4.470226859565329e-06
GATE_SHUFFLED,etx_much_greater_seq,8503,0.04307955760237918,1.7883213217405727,1.7883264624746527,5.14073407997806e-06
GATE_SHUFFLED,seq_much_greater_etx,29406,0.14898241454258052,1.8739344576210055,1.8739419885947521,7.530973746616709e-06
GATE_SHUFFLED,neural_much_greater_tabular,11008,0.055770877347640836,1.88512897253699,1.885119423453707,-9.549083282989201e-06
GATE_SHUFFLED,tabular_much_greater_neural,29802,0.1509887070053045,1.813281260236848,1.8132742295300608,-7.0307067872033e-06
GATE_SHUFFLED,prediction_decile_01,19738,0.1000005066395108,1.1445364843560253,1.1445410183354223,4.533979397036703e-06
GATE_SHUFFLED,prediction_decile_02,19738,0.1000005066395108,1.5919808421948747,1.5919823093898426,1.4671949679634366e-06
GATE_SHUFFLED,prediction_decile_03,19738,0.1000005066395108,1.8566418037330057,1.8566435637523944,1.7600193886746496e-06
GATE_SHUFFLED,prediction_decile_04,19738,0.1000005066395108,1.9692493083670495,1.9692492774270398,-3.0940009665414436e-08
GATE_SHUFFLED,prediction_decile_05,19738,0.1000005066395108,2.036395596158834,2.0363924618159017,-3.1343429323094085e-06
GATE_SHUFFLED,prediction_decile_06,19738,0.1000005066395108,2.028537491791512,2.0285247755342914,-1.2716257220546368e-05
GATE_SHUFFLED,prediction_decile_07,19738,0.1000005066395108,1.959214483838474,1.9592147830196867,2.9918121269290054e-07
GATE_SHUFFLED,prediction_decile_08,19738,0.1000005066395108,1.7863087410901235,1.7863032002351253,-5.540854998153932e-06
GATE_SHUFFLED,prediction_decile_09,19738,0.1000005066395108,1.5503235043559254,1.5503344472317089,1.094287578351505e-05
GATE_SHUFFLED,prediction_decile_10,19737,0.0999954402444029,1.206734258175085,1.2067666694874493,3.241131236420003e-05
RESIDUAL_REAL,all,197379,1.0,1.7412785664479717,1.741278566214246,-2.3372570545632243e-10
RESIDUAL_REAL,y_zero,76413,0.3871384493791133,1.8493381199127794,1.8493381195654772,-3.473021870092907e-10
RESIDUAL_REAL,y_positive,120966,0.6128615506208868,1.669417590331512,1.6694175901767594,-1.5475265513487102e-10
RESIDUAL_REAL,rec_buy_15_60,56145,0.28445275333242137,1.9405843349902085,1.9405843343973483,-5.928602053728582e-10
RESIDUAL_REAL,w180_days_buy_2_15,111441,0.5646041372182451,1.9453560683692304,1.9453560680232562,-3.459741382272341e-10
RESIDUAL_REAL,intersection,45667,0.23136706539196167,1.981471129437484,1.9814711290003089,-4.37175184941907e-10
RESIDUAL_REAL,never_buyer,20384,0.103273397879207,1.181486024400946,1.1814860244890113,8.806533280392159e-11
RESIDUAL_REAL,frequent_buyer,43240,0.21907092446511534,1.4031426275935308,1.4031426275332683,-6.026246168744365e-11
RESIDUAL_REAL,disagreement_low,83906,0.4251009479225247,1.7414287871482772,1.7414287872005896,5.2312376652707826e-11
RESIDUAL_REAL,disagreement_medium,68122,0.34513296753960654,1.71407020439509,1.7140702039994138,-3.9567615850444326e-10
RESIDUAL_REAL,disagreement_high,45351,0.22976608453786876,1.7810959103192867,1.7810959098021446,-5.171421069150028e-10
RESIDUAL_REAL,etx_much_greater_seq,8503,0.04307955760237918,1.7883213217405727,1.788321319845906,-1.8946666457964056e-09
