family,n_models,honest,insample,folds_better,plateau,n_grid,wcv_honest,wcv_insample,w_seq_mean,w_spread,f0,f1,f2,f3
полная смесь (E10+E02+CAP+DIST+SEQ),5,-0.0005450368857903657,-0.0006005244433018309,4,34,7315,1.7477977476472981,1.7477422600897867,0.4625,0.1,-0.0007122201318963128,-0.0005147507463778567,-0.0006590606085752349,-0.00047469865348781504
CAP+DIST+SEQ,3,-0.00041189945256916435,-0.0004118994525692532,4,3,190,1.7479308850805193,1.7479308850805193,0.55,0.0,-0.0006847386971140512,-0.000347627866555289,-0.0005261435375751855,-0.0003367404010015118
CAP+best direct(ROUNDS)+DIST+SEQ,4,-0.00044338418167540655,-0.0004700717429308998,4,13,1330,1.747899400351413,1.7478727127901577,0.5125,0.050000000000000044,-0.0006431189380751157,-0.00030322602946109,-0.0005434790112401888,-0.00040340946039663095
CAP+E02+DIST+SEQ,4,-0.0005547191432915562,-0.0005764868214350738,4,11,1330,1.7477880653897968,1.7477662977116535,0.4625,0.04999999999999999,-0.0007390150580055543,-0.0005569223778572052,-0.0006675845269377145,-0.00047469865348781504
CAP+SEQ,2,0.0006916954798381022,0.0006916954798381614,1,2,19,1.7490344800129265,1.7490344800129267,0.8,0.0,-0.0001906734551722078,0.00033948285886187257,0.00034566308199068807,0.0010630609508821554
контроль: без SEQ (прежняя база),4,0.0011340408983265752,0.0011215772854995532,0,14,1330,1.7494768254314153,1.749464361818588,0.0,0.05000000000000002,0.0016536524129142638,0.001500036914807712,0.0012493029577556047,0.0009199594251683152
