extrap,n,d_full,d_best,best_over
49,2,-0.0020011087772425773,-0.0020249402706329356,42.0
63,2,-0.0026862421305150486,-0.002926167892619236,52.5
77,3,-0.0036607885778933516,-0.004058234118688479,65.33333333333333
