segmentation,segment,users_pct,error_share,rmsle,mean_actual_gmv,mean_actual_log,mean_pred_log,log_bias,share_09-04,share_09-18,share_10-02,share_10-16,rmsle_09-04,rmsle_09-18,rmsle_10-02,rmsle_10-16
recent_spend,5k-20k,0.000349,0.000369,1.883769,3220.458252,7.120319,6.244905,0.875416,0.000522,0.000381,0.000345,0.000359,2.248027,1.823988,1.663788,1.805804
recent_spend,20k+,0.000010,0.000011,2.116824,4408.326660,5.582280,5.667113,-0.084832,0.000000,0.000009,0.000022,0.000007,NaN,2.318186,3.572901,1.192352
lifecycle x outcome,8-15 | y=0,0.044096,0.142220,3.145654,0.000000,0.000000,3.086047,-3.086047,0.144832,0.141198,0.140448,0.143036,3.130838,3.168961,3.152482,3.131483
lifecycle x outcome,4-7 | y>0,0.123051,0.140117,1.869602,106.165092,3.858650,2.445816,1.412834,0.141246,0.140450,0.138763,0.140569,1.885388,1.864813,1.859776,1.868625
lifecycle x outcome,4-7 | y=0,0.079550,0.131670,2.260259,0.000000,0.000000,2.197012,-2.197012,0.134754,0.135290,0.132508,0.129961,2.258825,2.288658,2.255980,2.237687
lifecycle x outcome,8-15 | y>0,0.176934,0.118582,1.435769,142.385864,4.207255,3.408759,0.798496,0.115772,0.117842,0.118839,0.118990,1.444968,1.439877,1.427946,1.430864
lifecycle x outcome,2-3 | y>0,0.062016,0.106515,2.294926,86.088562,3.668777,1.725181,1.943596,0.105414,0.103025,0.108012,0.106777,2.322989,2.267523,2.296298,2.293428
lifecycle x outcome,2-3 | y=0,0.081351,0.066398,1.589754,0.000000,0.000000,1.525460,-1.525460,0.067698,0.069453,0.066990,0.065176,1.583750,1.619387,1.590477,1.565369
lifecycle x outcome,16-30 | y>0,0.140484,0.061124,1.157207,227.814529,4.764771,4.425614,0.339158,0.059324,0.059286,0.060594,0.062073,1.168517,1.156025,1.152784,1.152179
lifecycle x outcome,0 дней покупок | y>0,0.018883,0.058919,3.106442,78.808258,3.535380,0.679420,2.855960,0.058778,0.060746,0.058726,0.058577,3.154144,3.109655,3.082180,3.081782
lifecycle x outcome,1 | y>0,0.025732,0.058334,2.648044,78.824608,3.586426,1.229757,2.356670,0.060726,0.060604,0.058127,0.057570,2.680432,2.648556,2.642505,2.620498
lifecycle x outcome,16-30 | y=0,0.010115,0.054864,4.070369,0.000000,0.000000,4.013694,-4.013694,0.053535,0.051155,0.054842,0.055968,4.053958,4.066308,4.090353,4.070340
lifecycle x outcome,1 | y=0,0.059679,0.024689,1.131249,0.000000,0.000000,1.073328,-1.073328,0.024725,0.026259,0.024868,0.024202,1.119225,1.161259,1.129419,1.114780
lifecycle x outcome,31+ | y>0,0.064466,0.017890,0.922253,507.595947,5.655259,5.523174,0.132085,0.016666,0.016681,0.017690,0.018445,0.930800,0.915074,0.921781,0.921709
lifecycle x outcome,0 дней покупок | y=0,0.112905,0.012878,0.588343,0.000000,0.000000,0.528914,-0.528914,0.011602,0.013025,0.013340,0.012770,0.564789,0.599197,0.602290,0.586160
lifecycle x outcome,31+ | y=0,0.000739,0.005800,4.926922,0.000000,0.000000,4.860250,-4.860250,0.004927,0.004986,0.006253,0.005886,4.963310,4.945044,4.958267,4.851311
