fold,rec_buy,rec_any,w30_gmv,w90_gmv,w180_gmv,w365_gmv,w30_days_buy,w90_days_buy,w180_days_buy,w365_days_buy,w30_days_present,w90_days_present,buygap_mean,tenure,w30_searches,w90_searches,w180_lgmv_mean
2025-09-04,-0.013847,0.003129,0.012235,0.014887,0.019216,0.021486,0.012156,0.015017,0.020376,0.023747,-0.011194,-0.007911,-0.018388,-0.002559,-0.005459,-0.001836,0.003961
2025-09-18,-0.021092,0.004364,0.019589,0.018211,0.021355,0.024476,0.020631,0.019668,0.024376,0.028443,-0.005862,-0.007104,-0.021497,0.001755,-0.003170,-0.006009,-0.001518
2025-10-02,-0.024906,0.001207,0.025745,0.020157,0.019347,0.021744,0.026069,0.019512,0.020897,0.025080,0.002893,-0.003720,-0.020436,0.006949,0.003075,-0.005447,-0.008760
2025-10-16,-0.016516,0.003736,0.019029,0.014043,0.013920,0.017307,0.019509,0.015653,0.015743,0.019942,0.001506,-0.002721,-0.017146,0.006212,-0.000464,-0.005412,-0.008700
