fold,current,oracle_zero,oracle_magnitude,gain_zero,gain_magnitude
2025-09-04,1.769134,1.054121,1.176272,-0.715012,-0.592861
2025-09-18,1.762566,1.059657,1.170968,-0.702909,-0.591598
2025-10-02,1.750727,1.060005,1.160308,-0.690722,-0.590418
2025-10-16,1.743135,1.063415,1.152316,-0.679720,-0.590820
