feature,psi,jan_mean,prod_mean,standardized_mean_diff,single_feature_auc
history_age_days,2.270875965980261,337.59824,367.59824,0.3636785908780828,0.802815077016
w30_gmv_cat,0.25668279389431425,6.986948231959795,5.610277091634733,-0.018292440730524297,0.5032421696
rel_w30_to_ord,0.07320030576988927,1.0,1.0000000000000002,1.0141123452433762e-16,0.5062068126559999
pct_w30_to_ord,0.07320030576988927,0.500002,0.500002,0.0,0.606547414864
pct_w30_active_days,0.07035032089911021,0.500002,0.500002,0.0,0.5010803769600001
pct_w30_to_cart,0.04197917389520248,0.500002,0.500002,0.0,0.5311722896239999
rel_w30_to_cart,0.04197917389520248,1.0000000000000002,1.0,-1.1318689313158572e-16,0.509021558656
visible_days_change_30,0.03177589779822147,2172033680.374952,1849120860.0453,-0.1506745061103457,0.521416664752
hist_active_days,0.018311999722698466,111.348156,122.524024,0.1319644153774308,0.535063777512
pct_w30_searches,0.017784736048690106,0.500002,0.500002,0.0,0.50717308916
rel_w30_searches,0.017724095208541683,1.0,1.0000000000000002,1.470928179881507e-16,0.506822582072
order_recency,0.017377868623104597,171.04466,161.59868,-0.02890255976400886,0.500061395696
cat_recency,0.009385434719101873,128.296736,119.188812,-0.03514111105002627,0.502330237384
w30_max_daily_gmv,0.009157768283436297,59.773851415140335,49.51760545300551,-0.057880297249222695,0.5216250312799999
w30_gmv,0.008213914139131976,101.42594358015299,84.03404163321817,-0.05968965946992031,0.5206105033439999
w30_gmv_search,0.007992419005694813,94.43899534819319,78.42376454158345,-0.05824690317586267,0.51992102624
annual_lag_to_ord,0.006917459115573031,1.625992,1.896288,0.053428163752059145,0.520866968208
annual_lag_gmv,0.0061012721818736685,57.557923834387736,66.92701790157005,0.03712322840799092,0.5201599224640001
zero_days_change_30,0.005858105957236285,1506365289.676608,1295619834.696764,-0.10466294124546274,0.511867580456
w30_explicit_zero_days,0.005400846205747998,1.752796,1.9382,0.07134111379983994,0.514431125952
cart_recency,0.005391288028818392,41.0743,36.791552,-0.031339080596418496,0.50064512272
w180_max_activity_gap,0.005259871564067491,30.448708,28.646616,-0.051551513937644025,0.5141861721279999
hist_purchase_days,0.00500894454650413,17.279408,18.947628,0.06980346357834587,0.519640514792
w180_std_activity_gap,0.004954152587491411,7.390894668722175,6.615616496933296,-0.07235127303554786,0.5145635211840001
annual_lag_active_days,0.004231625008721884,7.107308,7.590588,0.06500986832901301,0.518723204464
last_purchase_gap,0.004077701955799451,23.007296,24.57428,0.03580372982030816,0.5161444968960001
w30_active_days,0.003902732968808204,10.826636,11.175868,0.04584141476628929,0.5100247230639999
rel_w30_active_days,0.003902732968808204,1.0,1.0,0.0,0.511187
w30_to_ord,0.002737687474831439,3.043728,2.800236,-0.038105982219866864,0.514564951928
annual_lag_searches,0.002550270356258315,22.879136,24.422988,0.034257703742002585,0.5145083604720001
w7_active_days,0.002539016301420058,2.545444,2.634028,0.04190792945594887,0.510476101496
search_recency,0.0025206026543260866,8.852708,8.36006,-0.009918026216547094,0.500185519472
w90_active_days,0.0024801335153871633,33.022696,33.633004,0.028523209908834144,0.50933286604
activity_recency,0.002356825819584559,3.989372,3.855432,-0.02215147915578332,0.501439988984
w60_gmv,0.002314569198716666,203.5048751239468,185.45998521337117,-0.03543812364144664,0.512294284728
w60_searches,0.002205130814818942,74.371732,70.931428,-0.03343850805638349,0.5132873577999999
w30_explicit_zero_share,0.0017630406910724313,0.17170185237551056,0.1801640791479354,0.03763431468554715,0.5103596204399999
purchase_cycle_phase,0.0015935827444278948,1.788850494901184,1.8921975160022775,0.018464576360112086,0.508243301024
w30_visible_activity_days,0.0015675665669646075,9.07384,9.237668,0.023635528627749147,0.503996931936
w30_search,0.0015112220509319165,8.62518,8.778084,0.02247062545432953,0.5036005827999999
last_activity_gap,0.0013025222855997881,4.974772,4.91848,-0.00765731277566696,0.5098098088959999
w90_searches,0.0012777295164228134,108.773276,109.799816,0.006778843239738172,0.5048697250640001
w60_active_days,0.0011659346939986324,22.457136,22.002504,-0.031365435736021546,0.509519414832
rel_w30_gmv,0.0011143704463234783,1.0,0.9999999999999999,-3.5145232337918485e-17,0.509189536704
w180_median_purchase_gap,0.0010996440597827375,22.772172,23.759494,0.022603016812865813,0.5095513894
