feature,decile,n,x_min,x_max,mean_residual,mean_squared_loss,rmsle_bin,mse_share
w7_days_present,1,77062,0.0,0.0,0.024965898645261896,3.0236016277138913,1.738850662855753,0.09825978454496817
w7_days_present,2,77062,0.0,1.0,0.01727818236156052,3.1085054224726214,1.7630954093504474,0.10101895377664727
w7_days_present,3,77061,1.0,1.0,0.005973716620237946,3.318885907393148,1.8217809713006523,0.10785441421059264
w7_days_present,4,77062,1.0,2.0,-0.006660926824273028,3.351806611539331,1.830793983914993,0.108925657556042
w7_days_present,5,77061,2.0,2.0,-0.015092088681972203,3.4147812297629963,1.8479126683268872,0.1109707412276487
w7_days_present,6,77062,2.0,3.0,-0.020478201751241234,3.3450996194596403,1.8289613499086415,0.10870769643621236
w7_days_present,7,77062,3.0,4.0,-0.012613845709072164,3.226260384631991,1.7961793854267427,0.10484570697879743
w7_days_present,8,77061,4.0,5.0,-0.002770247452243116,3.0284317747653837,1.7402389993231917,0.09841547560175712
w7_days_present,9,77062,5.0,6.0,-0.0028562112759694487,2.731004160337043,1.65257500898962,0.08875107022250948
w7_days_present,10,77061,6.0,7.0,0.012253728805574399,2.2232855851531315,1.4910686051128337,0.07225049944482484
w7_days_search,1,77062,0.0,0.0,0.013398122348412846,3.0976533246081743,1.7600151489712168,0.10066628668312289
w7_days_search,2,77062,0.0,0.0,0.01203254092157015,3.0655255021496,1.7508642157944745,0.09962220968443923
w7_days_search,3,77061,0.0,1.0,0.010566548406820196,3.2859219897691223,1.8127112262489915,0.10678318003001844
w7_days_search,4,77062,1.0,1.0,-0.0012967787580853117,3.379409155591342,1.8383169355666997,0.10982267388470904
w7_days_search,5,77061,1.0,2.0,-0.01158925160966104,3.3727352099060224,1.8365008058549885,0.10960436438671572
w7_days_search,6,77062,2.0,2.0,-0.012932643991829165,3.3707051911932773,1.8359480360819795,0.10953981596500101
w7_days_search,7,77062,2.0,3.0,-0.005011913604379251,3.2069903576865966,1.7908071804877812,0.10421947742577863
w7_days_search,8,77061,3.0,4.0,-0.010846592886686542,3.036376224415997,1.7425200786263546,0.09867364776771911
w7_days_search,9,77062,4.0,5.0,-0.0022355034572986445,2.7340024232690814,1.6534819089633492,0.08884850656035602
w7_days_search,10,77061,5.0,7.0,0.007915421323425893,2.2223420621166587,1.4907521799805152,0.07221983761213989
w7_days_cat,1,77062,0.0,0.0,-0.0006169431606016598,3.1656724079819574,1.7792336575003176,0.10287674338350093
w7_days_cat,2,77062,0.0,0.0,0.007090343470798897,3.1589194670676615,1.7773349338455207,0.10265728903700182
w7_days_cat,3,77061,0.0,0.0,0.004990800751920887,3.167403209779055,1.779719980721421,0.10293165456470857
w7_days_cat,4,77062,0.0,0.0,0.0003786770386369455,3.119371992279551,1.7661743946393151,0.10137209117351363
w7_days_cat,5,77061,0.0,0.0,-0.001979904295175762,3.11923993991886,1.7661370105172645,0.10136648438345391
w7_days_cat,6,77062,0.0,0.0,-0.00529906141245726,3.079534504847963,1.7548602522274994,0.10007746859626614
w7_days_cat,7,77062,0.0,0.0,-0.0035706421161192147,3.0902146418375027,1.757900634802065,0.10042454737472821
w7_days_cat,8,77061,0.0,1.0,-0.006009683537450601,3.104417686858522,1.7619357783013891,0.10088480304046385
w7_days_cat,9,77062,1.0,1.0,0.0010584352123782317,3.0341031753014516,1.7418677261208588,0.09860105959717226
w7_days_cat,10,77061,1.0,7.0,0.003957990495233719,2.7327870941363064,1.6531143620863944,0.08880785884919074
w7_days_buy,1,77062,0.0,0.0,-0.016713067732607202,3.2856738342969307,1.8126427762515511,0.10677650127049262
w7_days_buy,2,77062,0.0,0.0,-0.008681024344836533,3.2733765795450567,1.8092475174903673,0.10637687005210116
w7_days_buy,3,77061,0.0,0.0,-0.013890730021494132,3.288767406806539,1.813495907579209,0.10687564804377926
w7_days_buy,4,77062,0.0,0.0,-0.021759212165505845,3.234208603505454,1.798390559223845,0.10510400498567249
