etx_share,wcv,rmsle_2025-09-04,rmsle_2025-09-18,rmsle_2025-10-02,rmsle_2025-10-16,row_oracle_share
0.0,1.74776777550392,1.766753957295164,1.7604716642612257,1.7487947251578722,1.741705055763712,0.5158094303777757
0.25,1.7475624570006782,1.766728163443266,1.7604079739996668,1.7486393804248397,1.741416902733527,0.0020152709001629867
0.5,1.7475098625201952,1.7668833567997195,1.7605095767798138,1.748629223964952,1.7412785664479717,0.0019880199736314846
0.75,1.7476100047781822,1.7672194895405842,1.760776443996356,1.7487642583078788,1.7412900826134905,0.002045117153030822
1.0,1.7478628557985951,1.7677364506088247,1.7612085005055362,1.7490444498254103,1.741451448257174,0.478142161595399
