segment,n,share,mean_residual,rmsle,mse_share,mean_residual_0904,mean_residual_0918,mean_residual_1002,mean_residual_1016,fold_mean_sign_consistency
all,770616,1.0,-6.343670546717806e-17,1.7541854667714094,1.0,-7.327125676686761e-17,-7.111936713902953e-17,-4.636829318413408e-17,-6.659796944741767e-17,4
y_zero,301289,0.39097163827379655,-1.5431023110596003,1.8613335759766942,0.44019252142523113,-1.5358093031887707,-1.5580597535737628,-1.547692031326134,-1.5312174092579063,4
y_positive,469327,0.6090283617262034,0.9906094305182438,1.681806775387115,0.5598074785747688,1.0230991613349878,0.9946304742803982,0.9794838746245681,0.9672545665197195,4
rec_buy_15_60,223152,0.28957613130275,-0.026619940663462134,1.9526925559491837,0.35882234969427096,-0.0157563435859099,-0.04630016654521221,-0.034940968063895385,-0.008505845802738209,4
w180_days_buy_2_15,438482,0.5690019413040995,-0.008160543444188843,1.9552319174583952,0.7069021248571445,-0.026014543520804807,-0.019693412464043523,0.005664615718624043,0.0067414386499948485,2
intersection,181406,0.23540388468446022,-0.02745787896165491,1.9921649777051182,0.3036079993639215,-0.022830311530350606,-0.048887048406791644,-0.035236662763661206,-0.002258058037498642,4
never_buyer,82278,0.10676913015042512,-0.013689353161363183,1.2070383397120867,0.05055182248849575,0.005168078971059378,-0.00034059596171601776,-0.028440331788651685,-0.03182470568548349,3
frequent_buyer,163898,0.2126843979361965,0.04166451632509873,1.4075626903822596,0.13693677901336876,0.07315186379030607,0.06439389795134215,0.022084807569159686,0.01096859243925332,4
disagreement_low,256932,0.3334111931234233,0.006118232095397487,1.72788975389783,0.3234902660770929,0.016828983386188996,0.006856260485730948,0.002292348330938669,0.0004988838841692127,4
disagreement_medium,257309,0.33390041213782223,0.00847010880830507,1.7120377197630103,0.3180479463170277,0.010284387127677394,0.009588712914230258,0.01086612297858024,0.0035368405988783656,4
disagreement_high,256375,0.33268839473875444,-0.014632490828243338,1.8208665421737267,0.3584617876058794,-0.022498236071600973,-0.016408702251030798,-0.010838470090909323,-0.006235717105728813,4
etx_much_greater_seq,77312,0.10032493485730896,-0.026804875310979914,1.9025908091774404,0.11801811075925212,-0.04278219477818941,-0.03544301845651424,-0.017451867707267907,0.013980023758811445,3
seq_much_greater_etx,77070,0.1000109003706126,0.013277465948061843,1.8011660982409212,0.10543962385882866,0.026808761519050355,0.04818151776120531,0.008774672992101397,-0.016142714402743806,3
neural_much_greater_tabular,77062,0.10000051906526726,0.06289405878204953,1.891594226225757,0.1162805819237549,0.05955427114523149,0.04761726695349393,0.08294552746212526,0.08463240545636462,4
tabular_much_greater_neural,77062,0.10000051906526726,-0.061817511680066266,1.8387213812519643,0.10987100308391723,-0.07329742154711022,-0.08006755038978029,-0.05157049864238882,-0.05963515159274812,4
prediction_decile_01,77063,0.10000181672843543,-0.005889137580090379,1.1591963312684872,0.04366876086034365,0.020757732574571097,0.006770180026563351,-0.024482759924065966,-0.025344972801124795,2
prediction_decile_02,77061,0.0999992214020991,-0.01313362590999428,1.6082016112373472,0.0840478458933119,0.01145152006084835,-0.007576195730447963,-0.03438116010443258,-0.02114323748765887,3
prediction_decile_03,77063,0.10000181672843543,-0.014238047234535589,1.8651494535028235,0.11305353520132883,-0.01878335766316657,-0.01939869516585697,-0.018805184733006367,-0.000420157733169569,4
prediction_decile_04,77061,0.0999992214020991,-0.0441497491541785,1.986981075382681,0.12830189264539782,-0.05054031012951487,-0.05637748619828668,-0.03167286686915857,-0.03845594250988602,4
prediction_decile_05,77061,0.0999992214020991,-0.03521503280200862,2.0441705794510105,0.13579377706611015,-0.06928491618501692,-0.05868663923313951,-0.0338615984990735,0.01871215335127097,3
prediction_decile_06,77062,0.10000051906526726,-0.014945846043286292,2.039673303093845,0.13519868270309165,-0.052159886082702056,-0.03852482232342255,0.017268164797194167,0.011803535745452304,2
prediction_decile_07,77062,0.10000051906526726,0.007745104415410298,1.9690821207929876,0.12600242244776816,0.006383798309078068,0.0017131974169540725,0.018330241330912614,0.004495907191361254,4
prediction_decile_08,77062,0.10000051906526726,0.023966638338978455,1.8062244451197207,0.10602167674063473,0.0043000551954951085,0.031091852105395484,0.050842206808026015,0.009480308964644621,4
prediction_decile_09,77062,0.10000051906526726,0.04278829217482672,1.5745750358569854,0.08057085277403712,0.04885102905827927,0.07308306820696119,0.021933939996438945,0.02814203242583904,4
prediction_decile_10,77059,0.09999662607576276,0.05307253076237431,1.2069784097019596,0.047340553667975946,0.09902591246642876,0.06790535865722784,0.03482773564277639,0.012731017853668283,4
